Distances,Angles
"[0.66265901407906, 0.7243315003358137, 0.740867364396219, 0.68726072436609, 0.6574642460606782, 0.1003411974567598, 0.14720751056617032, 0.08218724938180798, 0.10052316018190299, 0.13852963566026313, 0.13986226679297994, 0.13349288364440412]","[156.26543487004622, 164.16655741103997, 119.15084460647195, 153.8796500876015, 113.1224699645572, 151.79307134705311, 108.24621629491358, 152.29162756858886, 123.77159510933022, 155.89132763487137, 64.71178761606244, 70.97870113318866, 74.35862831335426]"
"[0.7741976024148041, 0.7965366517022566, 0.7666947145587243, 0.7550405556908297, 0.7154242391299097, 0.08036630013931186, 0.16600023977567233, 0.06000237420759184, 0.09085737912471187, 0.16519580571483952, 0.161820638174933, 0.1689689084960636]","[151.90014263443163, 164.6661392178772, 133.27059250159363, 153.29280017978897, 124.82065601495168, 149.25350171979773, 122.17599046342839, 150.8296897487937, 132.8502016417505, 154.3189293573363, 61.112878101126725, 64.37004051004152, 72.27654212627773]"
"[0.7430756287354316, 0.7794298905737623, 0.7705671559798475, 0.7537804282471859, 0.7286713960468988, 0.09242193596454072, 0.11873292161147608, 0.02384792534957105, 0.053074766979740166, 0.12877888510472293, 0.1330946192134087, 0.15586372619583566]","[154.618147530034, 160.74130517427554, 131.12495874215327, 157.7051446615735, 126.81497734374098, 149.22817989531137, 124.12920302702125, 148.69998191351598, 134.70363653826942, 151.64753669817696, 68.6961815541949, 65.875031252962, 68.35523952731441]"
"[0.6695004567908359, 0.7455761574287559, 0.7278153034612002, 0.6967047452393217, 0.6342642905420124, 0.15511727256774815, 0.10209953523899003, 0.05424098163120547, 0.12563804826605704, 0.15910301750291025, 0.15858656449664613, 0.1694359718301617]","[148.7791806509129, 147.89147555102377, 124.24288715165679, 142.8508207374638, 117.32068877432425, 138.07399203533888, 112.03999954006831, 140.9310562531015, 117.7473184835383, 142.38960441326947, 64.03614126434807, 69.08693815343786, 78.37565194945601]"
"[0.6682540322592688, 0.7411118150906632, 0.7215019155001066, 0.6884351834070159, 0.6417597678626903, 0.13910040487602046, 0.09080071329416345, 0.05083223450369883, 0.10221402685080991, 0.1471950019310327, 0.14905412945915672, 0.1646229688957431]","[149.9400583439975, 144.51460186781864, 121.9631991798164, 144.14066734304896, 115.34082251411544, 137.77618112817473, 110.90351922910664, 139.21687289775556, 118.59497745660141, 141.4260020287734, 66.5487831823473, 68.03510874339364, 75.02665315277638]"
"[0.5787076600091455, 0.6059491902265067, 0.6240981318100359, 0.6273847407198974, 0.573943090642622, 0.10807701634783523, 0.023457945556911816, 0.008444733590351384, 0.09378960930742626, 0.07781433367300376, 0.076412795895447, 0.10477888494117135]","[167.53112240856953, 161.56779854981326, 113.18780238751077, 148.42997667049258, 110.5964798180734, 146.330763160453, 105.9912494611682, 144.3693072909189, 116.96649626458262, 145.0570178873589, 94.12613307469297, 70.37187321584062, 65.26712723990879]"
"[0.5749341651076426, 0.6382868817162657, 0.642215382551479, 0.6231973977605231, 0.574179832581472, 0.13590798076796, 0.03282064372802077, 0.02628570091736878, 0.072763685430396, 0.0963717011145622, 0.09554695213159968, 0.12321312332392356]","[158.9272044901333, 156.38536453158943, 118.12067028704038, 141.45534829889698, 112.26409366825978, 140.37508630069644, 106.73660505921018, 138.99401216004557, 116.68221163175491, 134.08429367485152, 79.62453913994253, 67.92664373168496, 66.74410528073771]"
"[0.5961948881514174, 0.6702974612582386, 0.6579066696623724, 0.652703133322726, 0.6131522684425252, 0.13951824057784293, 0.029175237037029907, 0.0098152213033335, 0.0667273616147047, 0.07997870253168261, 0.0837609991118728, 0.11286884950480758]","[161.87626634213385, 166.3685935380027, 112.1375984098278, 149.30463089729435, 109.13709734739994, 146.27347240915816, 104.90654903399202, 144.25584382269318, 115.61497605282325, 147.06112212580038, 80.49063432812646, 63.62378619741705, 64.5639272713756]"
"[0.34943869850163095, 0.5644587108623037, 0.5631453291244461, 0.5537235175349091, 0.5125525329733798, 0.26059016733198, 0.08301181338529673, 0.0583926979003623, 0.05584631006986435, 0.079757902367194, 0.055775768998804535, 0.05092951359889168]","[156.4320829235305, 179.22971907637066, 162.83327422443108, 170.53529050149706, 153.0203454223796, 168.52285338662324, 152.32002415242277, 165.39003753123995, 156.4400886037818, 168.50743906298405, 111.91620283800363, 110.3840919927794, 97.26669791556677]"
"[0.35713240040774574, 0.5429510033910121, 0.5485757911534979, 0.5262850595438361, 0.45891438226517856, 0.28896860150965425, 0.08363316512366298, 0.07168062264851281, 0.07944882721951296, 0.06878737378235206, 0.05099762668051878, 0.04887826906875013]","[162.54315397313877, 169.707600386936, 162.36018489820793, 173.0708024558423, 158.16414438141587, 171.86905607264873, 155.41542525597745, 169.93991548442912, 150.56596892319465, 169.16629515709246, 103.464284285413, 91.61512723887566, 77.95655806503743]"
"[0.29141694984232924, 0.36885093679882197, 0.378836435852046, 0.37630261040028923, 0.35608004279379984, 0.09241202742254213, 0.033678953396731943, 0.022527387694060833, 0.029479468496184266, 0.030994074131352998, 0.037362187608110935, 0.047204981160685985]","[162.15117625205613, 172.48973594695127, 145.8752399329022, 155.32864636821233, 147.36447442580308, 162.20309690315204, 151.98927336774884, 169.3625877309499, 164.8931428753988, 174.74084473954593, 74.98462375543906, 70.99197518017769, 71.3735719999492]"
