Distances,Angles
"[0.47719560732089444, 0.8526892586794955, 0.8833419517011509, 0.8251416272880491, 0.7076959835702528, 0.4172816512482787, 0.09907596276529569, 0.10524992120718994, 0.15388211915112335, 0.09534631607467073, 0.08309243366837407, 0.09825161921966367]","[127.31997953260725, 153.44369366425462, 171.53574649471113, 177.84425827348844, 172.07577315710785, 178.04185571447854, 174.25914854413332, 177.53313781778346, 174.1809507631791, 176.95968301923295, 79.87441877882864, 68.31014661666248, 61.174484366648294]"
"[0.4895257116222094, 0.8531874262630211, 0.8837435750972266, 0.8217158936408928, 0.7084059366008978, 0.41019851314990696, 0.09572389795561201, 0.10381848776863428, 0.15191181307967616, 0.09867635419891896, 0.08576162698199913, 0.09827990740902535]","[128.00195635405598, 156.76732963535736, 170.11656176046873, 178.014551938287, 171.56619740353617, 178.4405768288366, 173.70079031234116, 177.3637411837532, 175.32481881102382, 176.98479511420473, 78.89307379359096, 68.48504573655589, 63.02534727541396]"
"[0.47838800090097555, 0.8570163540701796, 0.8943881897460632, 0.827309861542367, 0.704482189827051, 0.4226554906099845, 0.099091356298073, 0.10917581025833338, 0.15894222745193112, 0.09615450599200034, 0.08305215847121185, 0.09611591173779775]","[128.12189042123623, 155.89880907760423, 172.64243717889474, 177.2136595683636, 173.17182269795927, 176.8752563968594, 173.6876089377681, 176.71906910453086, 174.17994013069065, 175.47359744459217, 79.08579987950075, 67.32358406713327, 60.14103721308205]"
"[0.47605656300039445, 0.8453279635899407, 0.8815730731599666, 0.8127123024466503, 0.6881842813372017, 0.41822961658720587, 0.09654663113844861, 0.10979557759917505, 0.1620644056504637, 0.09548998188787962, 0.08230612263524478, 0.09446003515576289]","[131.31454610413505, 155.63955904676814, 172.4509274425287, 177.26759115930008, 172.1253527261934, 176.63196608303426, 173.1468450857442, 176.81327985547085, 175.02443272837115, 175.74599806176002, 78.99333150111505, 67.13051981203552, 58.74247548478203]"
"[0.4878172436418646, 0.8508399158074239, 0.8908729366278926, 0.8320769610263269, 0.7104815046224802, 0.3946528862595298, 0.09907539233063957, 0.09667743575202328, 0.15397588768779272, 0.09146154644864048, 0.08333029303127143, 0.0994556535087843]","[130.18966492456954, 153.11115178296686, 170.50350918068997, 177.85110881467418, 171.68441432758686, 177.66540583032497, 175.14004764766923, 176.74459837867522, 175.37288394023034, 176.1893995983587, 77.46460438804544, 65.1681628615256, 59.455178778706674]"
"[0.496308857786718, 0.8405686849410301, 0.8912503161224111, 0.8276774961441209, 0.7218144053575857, 0.37013938769355775, 0.1028580154000022, 0.10742966763014297, 0.1399160639446811, 0.09852617591959516, 0.0869087579003545, 0.10239548500625319]","[128.78536171434354, 155.83455900516333, 169.3697455239496, 176.13448367026845, 171.5871309523719, 177.9472065561116, 173.70699164162167, 176.05005187796223, 177.50055479157942, 176.8813697153167, 77.98704251602464, 67.04687740108865, 63.02852970404484]"
"[0.5092339699109553, 0.8562451212185388, 0.8947433873131029, 0.8322833694174963, 0.7236136262917389, 0.3723538821825528, 0.10663916943875051, 0.10343768315033534, 0.14186066178628262, 0.09533822728901356, 0.0853313103759034, 0.10205251251910785]","[127.78270692235623, 160.65118490106644, 170.3813560769329, 176.4669619242387, 172.2105308253578, 177.62602955354194, 176.1386699724857, 175.96915303139735, 175.82009598478126, 175.96718379761285, 75.99342375965794, 66.00597020548264, 61.497945039225456]"
"[0.5030068015482604, 0.8525067038627722, 0.8888508808377388, 0.8216221696992196, 0.7079388425548269, 0.38459545119071825, 0.09819163711709611, 0.11371260333424943, 0.14767425635354847, 0.09783576944691778, 0.08794216106548157, 0.10370135489482946]","[128.7176410742264, 160.32671751704632, 169.67771411994926, 177.25501825602544, 172.73214836502112, 178.97621901167489, 175.4380358746579, 177.01442444635805, 175.69062408466343, 176.36954877186878, 75.98919159957626, 65.4937231114479, 60.6897309707837]"
"[0.4768918935610712, 0.8513599568322454, 0.8885417566402676, 0.831448948008778, 0.7210762505322159, 0.3961481456513288, 0.10829110042878456, 0.10433071942057802, 0.13582903312126027, 0.09362432507917869, 0.08352542419687355, 0.10012302477716137]","[125.65486349411407, 155.4565534733145, 170.900688364554, 176.7635800808271, 173.0099343721573, 177.28093945398768, 176.72895839698904, 175.41494117399304, 175.80302580758172, 174.78747157308902, 76.96048167950606, 65.63835985131956, 59.97758775650703]"
"[0.48425786974625284, 0.8419045731628498, 0.8886447769096788, 0.8243413090697581, 0.7102325818305628, 0.3791283078277631, 0.10180801828655363, 0.10933731277506117, 0.14565035733564816, 0.09582975263044913, 0.08496365205034358, 0.10219152639855396]","[128.2583365449943, 155.26578473827607, 170.74534765616565, 176.72080897285025, 172.25451365131624, 177.42525725004447, 174.27584371172895, 175.88086787541116, 177.45540640347224, 176.22840658551348, 77.94085049659279, 65.94762536077204, 61.30961325844132]"
"[0.48512179650052756, 0.8023949843901466, 0.8390531067663414, 0.7871721842011625, 0.6862017506205278, 0.3513492736112499, 0.09251622227162028, 0.09003137131111726, 0.1327835342104345, 0.09164630588055701, 0.08259237607342243, 0.09655638135087176]","[129.6008361793305, 150.59323405378865, 168.499454364824, 177.89974477901958, 171.97863529128935, 178.89943479661144, 174.47680979033618, 176.361456161495, 175.86628959184796, 177.3429597259023, 76.64630377501481, 66.0117124382235, 62.721057235059185]"
"[0.48658536245439, 0.803672737107866, 0.8408988810601539, 0.7903072037863756, 0.6882375252540508, 0.3497823296059316, 0.09073929401548789, 0.09171668782674182, 0.13291964002926135, 0.09100927346639787, 0.08285915520022537, 0.09797314214648029]","[130.08402441990043, 150.4980637313607, 168.67135393327638, 177.84340761533744, 171.90655919683078, 178.9074281346699, 173.96406079780326, 176.4556567448326, 175.4162704385027, 177.35942295135837, 76.82311516247594, 65.12560699752673, 62.012581327257166]"
