Distances,Angles
"[0.5239550201756809, 0.6067357311244324, 0.6095559916478848, 0.5911108906222601, 0.5333539742059722, 0.10001551195750452, 0.039485787154842356, 0.02962544492485558, 0.07513200825849148, 0.06581975621545177, 0.07873425447998096, 0.09684557394760542]","[165.07781730501335, 170.24971579161382, 169.10924694371087, 174.213805385893, 171.34857798299154, 167.23431588773104, 166.1522189507657, 169.53555071621682, 164.59737932300735, 171.36970268512445, 70.4140366074436, 49.908818257208885, 48.040285854489504]"
"[0.5982772441621477, 0.7161736041893608, 0.719403842566525, 0.6835301012941867, 0.6130374639349196, 0.15103383005967005, 0.04494713411354627, 0.0573641417848038, 0.09334465009212814, 0.07805091888593214, 0.0852097410464358, 0.09539757413907853]","[168.85502611210546, 173.64686398828343, 155.51425276085686, 169.4676080379461, 146.47597620986352, 161.09647578250113, 138.7468510710124, 163.09470141612593, 147.24039957275625, 163.6114250688089, 79.91147763716275, 66.15549823087075, 66.55734511333937]"
"[0.4950003973054308, 0.6070673793236294, 0.6318053711986711, 0.6325284795807073, 0.5564194458562298, 0.1852460173159787, 0.062251998461649485, 0.04278905450256004, 0.11146225869912002, 0.08106652331754323, 0.09173468117051907, 0.10532129556001425]","[165.38124201775955, 163.55361290392082, 167.4559301528536, 174.1906885498139, 166.36843342323104, 164.95323620804703, 159.62945735391503, 171.24114891886995, 160.05799462235015, 170.4564343760274, 73.18423139687971, 58.76881455551628, 60.06813139364503]"
"[0.49095765931364255, 0.633998097726155, 0.6756491379197153, 0.6871775412900576, 0.6439661551833303, 0.19425184569616485, 0.06366001435211431, 0.041736942874962144, 0.10422409969108191, 0.08366417971396906, 0.08991685336434672, 0.09895169935057796]","[166.53899960049512, 172.1830270881139, 162.40897953340655, 171.2095167964759, 158.500826777748, 163.1446540924642, 150.9016574001439, 167.25414258529622, 156.43803881505676, 168.1667586220708, 87.17742506045484, 76.01753384289398, 79.43168273331916]"
"[0.7309517961256102, 0.79928356111498, 0.7889874736652336, 0.7496265397871313, 0.6848132237864736, 0.280099261013525, 0.050533497163884146, 0.05463070070879409, 0.06763301078447671, 0.055210284146185236, 0.022742064278502866, 0.048959146742984516]","[174.55588121694, 170.077293110362, 143.20208384522513, 159.2603790413213, 139.25309833055212, 152.1762131055516, 136.52522272408584, 156.16054685060803, 147.1893275837083, 157.03930029741238, 91.93800777652241, 29.51139852172189, 38.862359984574205]"
"[0.8281416460863302, 0.8909411355868093, 0.8460813775939557, 0.7969899281304721, 0.7087338904338902, 0.2667218672648297, 0.12804849076947142, 0.09916660591311156, 0.11082708422260032, 0.11555944769064115, 0.09367118926515702, 0.08301025699127311]","[163.25272635441763, 168.10761707252993, 141.0070428324272, 160.20459520547305, 129.99429655822516, 151.8769340925836, 129.1914267559261, 156.54408008688895, 139.87475162759978, 160.57295535131507, 64.97890204872145, 64.68049269722171, 64.47073500510285]"
"[0.650270003188273, 0.7454328308056343, 0.7539417298991502, 0.734840036787203, 0.7060172201998028, 0.22338118989800712, 0.013964301937451767, 0.029932798983463044, 0.06369401911495204, 0.07142592498865612, 0.06704570637063406, 0.07726866847611032]","[166.00507836243162, 170.62339547209558, 127.56045812330905, 156.51383165403627, 123.96114791493498, 156.28123868750936, 123.16663655516241, 157.19809556963503, 135.1572099080916, 164.15240225342848, 91.48189234327899, 77.87073544902111, 64.01004790941612]"
"[0.6258002208402845, 0.7023073925958314, 0.7285468616341804, 0.7108725784013746, 0.6685169575927424, 0.22331194642309052, 0.08905853413082852, 0.03215693122934829, 0.06915137717434398, 0.09262399488071252, 0.09115209002729668, 0.0929225283951189]","[165.45718292971983, 172.9102284712499, 130.98139981549238, 157.93549405442485, 125.43491714427404, 149.04294071452506, 124.29311015090249, 154.8987561786772, 136.75338708980146, 157.49613414022213, 79.90271407368189, 80.97705641077837, 77.71584264107348]"
"[0.6507550487144704, 0.7438955222314799, 0.7640163524799329, 0.744873173774301, 0.6902411444970276, 0.2216012098864554, 0.05536559507837896, 0.024293392780540667, 0.07546245801713117, 0.07416350717776576, 0.07292166888634259, 0.07826741361054958]","[166.6955797899372, 173.57697743081945, 129.3239634896953, 160.4885298559376, 121.89122060306593, 154.46184863600263, 121.98549083848276, 155.7981142016687, 135.63325223376012, 159.2933632469333, 81.6684894955502, 77.27023026072685, 70.11937664153471]"
"[0.620035192711907, 0.6789718969427394, 0.7012006223705768, 0.6814915594823481, 0.6372338383315412, 0.22086273194355904, 0.04731294741148508, 0.033680555438790866, 0.07507986860413854, 0.07312603732251245, 0.07059547531201389, 0.07210447716525666]","[168.79452266177995, 173.5602299758606, 118.73553892861331, 157.47481884748203, 112.98902559936315, 151.66571833534567, 113.04092134983875, 155.45338003695105, 131.1056612389989, 157.91553292350605, 85.38581320495658, 83.66570918530924, 72.40992222006886]"
"[0.5096806060949022, 0.7026943928270544, 0.7162991066375111, 0.6986721793078021, 0.5985401392925007, 0.22832760851848366, 0.03800694364864816, 0.020996686013062146, 0.11213141238180409, 0.02903611113655178, 0.049563963180122794, 0.07643307762533222]","[173.628352115776, 170.00834330593668, 164.20537802260282, 170.8610942905254, 158.15582747081856, 170.533668836431, 153.6047815029918, 168.02465240744536, 155.73772863520645, 167.9551810196267, 86.51369738347582, 49.71092675011111, 51.02184304849613]"
"[0.44866712239848866, 0.6616213746698477, 0.670466978445288, 0.6585291241839331, 0.5486408066709136, 0.24508779043195641, 0.0332359775431989, 0.014339978060070844, 0.12067561346939104, 0.030624743200679778, 0.04550492078557262, 0.07524917506530444]","[172.95297115720496, 169.11955150491357, 161.35980699092835, 169.18234649318782, 157.18534067660687, 168.91383527369845, 151.29072904242102, 169.8065061395488, 154.68439578144523, 170.68358906635592, 97.96622413708104, 48.22654854833459, 44.87875785499959]"
"[0.48626579134453385, 0.6858430830635771, 0.6755731180530816, 0.6572511441346454, 0.573257008598461, 0.3383699214970163, 0.11603530797640059, 0.08299011721232659, 0.0932046456718639, 0.08160999034444696, 0.062384522347145775, 0.060862288939441775]","[163.6217099790688, 174.84471082831325, 172.10285049820803, 173.61783950606946, 164.68868373818415, 171.7772157340688, 160.54732944711884, 169.92850825214367, 160.0151381941759, 171.61292372536266, 88.8416368763337, 77.71205210573825, 67.54816860378288]"
