Distances,Angles
"[0.42883041616157025, 0.8851982954027228, 0.4565363440072678, 0.377118946453654, 0.3783534570815989, 0.5016011469895265, 0.4546257277363961, 0.11238125491590897, 0.07506829637562853, 0.10814907708526013, 0.10314399175715393, 0.10991938141774933]","[133.67689997420436, 122.58787482251368, 173.87973142192294, 176.6842646856438, 51.035486392193725, 159.23616734181118, 40.64116732271661, 160.91872457553774, 35.253125019877245, 165.940729191348, 70.85294962855338, 69.61010937914969, 69.64586230355648]"
"[0.4354347133689977, 0.8931087289314459, 0.4709857020389935, 0.383176164848221, 0.37896992091892406, 0.49678453933999084, 0.44203731415793035, 0.11897842286938459, 0.073788787640134, 0.10818685696261662, 0.10157772369083835, 0.10874208906281821]","[130.23091550946515, 124.57216274241519, 172.72870364875126, 176.88735004801995, 47.92818907317943, 159.7876442306494, 38.458584749143974, 161.84086072420183, 30.99924254879983, 167.45724029081086, 71.3278034674547, 69.52533500848588, 66.4452114981833]"
"[0.4723482665547925, 0.8852764753518211, 0.5203942274804599, 0.43125052978590345, 0.4369232645990235, 0.47484161145918063, 0.41634398725986804, 0.11520722989523541, 0.09859943370570533, 0.09637705223091578, 0.1003143419001357, 0.1093682460942727]","[137.79268356882935, 126.64034013632632, 171.6021406794068, 173.02154171571368, 64.29489235569814, 158.9307726758006, 57.43006487578982, 157.40279110185435, 58.690721515251106, 154.78398149915924, 74.44280481896683, 74.10070582358426, 74.76339245732387]"
"[0.46468677757501475, 0.877787376544621, 0.4707454503940397, 0.3868218269335535, 0.38791633088056854, 0.47105899234993415, 0.4348062716779638, 0.11138052029456919, 0.08904457158058535, 0.10463743431958566, 0.10298213020941328, 0.1169489332634669]","[137.0786224398533, 121.26061551459495, 175.34257222320053, 176.57557061906758, 50.951768758541526, 158.20053465358708, 43.887987141772534, 159.38721525055962, 45.366067406871885, 157.651693885217, 67.52861884277326, 67.25448544022272, 70.95396763159745]"
"[0.47441204642801554, 0.8676673271504687, 0.5181512226251968, 0.5005331973885206, 0.49579889910699326, 0.41976498901344506, 0.39350071569706196, 0.1046246698673203, 0.07086254492931487, 0.1074092406790404, 0.104891463649025, 0.11019859380140143]","[133.48660590083134, 151.6447425317602, 161.89227998839607, 173.38559396999426, 64.12597558931685, 152.12485852362167, 62.84197498722952, 146.96628950782068, 83.67860799984672, 125.65474317372635, 81.56555002489252, 76.53230311990107, 72.14114464596366]"
"[0.47002782072719845, 0.8210173351138043, 0.45994562358652763, 0.40164461497605103, 0.4059476050511481, 0.36846361495294305, 0.3698415122658725, 0.10376406910322147, 0.07705971917732055, 0.10742454439301523, 0.09592819113717227, 0.10232311191830001]","[134.1132643222287, 115.84276234407558, 172.4163153006165, 178.38858192130334, 42.96843959063352, 156.87868634107656, 32.43655067955153, 162.77337789836528, 37.27827876889237, 157.25310836927827, 71.90691145969251, 71.13397635074732, 69.48062275526655]"
"[0.3925597823500263, 0.8841790626830568, 0.4090871041625521, 0.35397851773903843, 0.3240472246821475, 0.4922360967594905, 0.4779148308758145, 0.11866998833172633, 0.09755708061796857, 0.11460051445737306, 0.10344485661329848, 0.12340146951281034]","[128.26109132745398, 105.70710743034051, 175.67234587576687, 173.6625283787391, 30.445345326272328, 162.2779105164245, 19.246690017372124, 155.59606118851173, 30.255108737832355, 152.18409833167468, 68.97851636816964, 66.09419185935467, 59.084100396937465]"
"[0.3844038375800204, 0.8761225286573086, 0.3916611156081129, 0.3473179540985332, 0.325578678478632, 0.4919890846592947, 0.48450915671564737, 0.11647437918926556, 0.09644217350546366, 0.11393378406232366, 0.10704628646632267, 0.1264743614379061]","[121.21518655049205, 109.2122608426411, 175.645564461826, 173.65692827861028, 23.527985720455963, 165.2931732333609, 15.146040931925583, 156.56772086934066, 34.00693884476574, 155.34416422817552, 68.04580086129351, 64.75785034052645, 58.13777102803876]"
"[0.3877073958907235, 0.8774145412743629, 0.4015191050410716, 0.3439766179287911, 0.3155593183588008, 0.49021852475776306, 0.47975903513787593, 0.1202569558156524, 0.0960556064394426, 0.11420368901194493, 0.10398815064341399, 0.12111498335082092]","[129.1163330109782, 105.23450734179103, 175.54798350111352, 173.09488428529286, 31.748502208268125, 162.08622296611472, 20.733111284907473, 154.80313761416195, 31.326532391461978, 151.21249750291034, 68.53517871986926, 66.55157315816558, 61.23787962914813]"
"[0.3853654631374535, 0.872778437755587, 0.3946795228468173, 0.34574849196794566, 0.32094386115393087, 0.4930494286555724, 0.47945831273257306, 0.11182383154775236, 0.09495043288109106, 0.10877904399104074, 0.104795021798863, 0.12054206078996617]","[116.91503929220782, 116.71039514249892, 172.7351028384994, 171.57285591395978, 14.61127586413618, 170.8039129950195, 6.078711081516186, 164.14457360263907, 29.040310961585078, 165.71457486439954, 70.48525890113191, 65.23357687992832, 53.06438335445276]"
"[0.39103800877643824, 0.8829696607902422, 0.3924493813328312, 0.34662926855790116, 0.32626152452199486, 0.49353289004330325, 0.49163699345429557, 0.11903454607428018, 0.09183637392962728, 0.11920097381788461, 0.10925601626746084, 0.12306675418458951]","[115.51608685022448, 123.56039031188217, 174.3899225818904, 173.1961686685794, 28.336490705667124, 167.71219036333625, 15.732289445517265, 162.58399590339872, 23.002125038325023, 168.47820928761752, 70.69623038615275, 66.05094803374726, 55.350704463141284]"
"[0.4221219405944887, 0.8041263377737403, 0.49134648993056396, 0.43588287322732855, 0.4485702795099919, 0.41124181347933714, 0.3432004051456979, 0.09482875514502229, 0.07928130698332946, 0.09690317092545446, 0.10113281946642856, 0.11178256840430514]","[127.77628448257092, 143.2025508891283, 169.38308931253152, 175.25371205368918, 64.09582538365709, 151.66883293326129, 61.91490264142381, 150.88096963082313, 83.921571530423, 136.67099711367237, 78.1731548040713, 74.04699613599985, 70.83373084612845]"
"[0.45442798328382095, 0.8278232783676763, 0.5185657348547229, 0.4511218272165811, 0.45392763462507935, 0.40081443211804696, 0.33271321470763676, 0.09609903617212487, 0.0843071637711722, 0.10408438971803388, 0.09858829173818519, 0.1011162381628273]","[133.34253481483836, 131.03038759929734, 168.53206220234813, 178.25694327463688, 64.74898889669134, 145.2287530348391, 62.56075060203795, 147.11265593891537, 94.51798130937641, 122.5172278631436, 74.134167064122, 70.88486159219588, 70.05520806998882]"
"[0.5041904116487991, 0.8775421249352896, 0.5636689486350233, 0.5100931349636411, 0.5113267877767069, 0.3963593416717088, 0.34988130342931945, 0.10536294574832307, 0.06332573393627206, 0.10574782796437086, 0.1021244039770219, 0.11140144483462498]","[134.51748355699388, 136.0484660531971, 167.44056258860095, 179.54340489686342, 81.44823734914482, 133.77638057915806, 78.69884363504703, 134.74756789072552, 114.67421088152629, 111.56059076861573, 79.31326869616417, 74.55023297819636, 72.54267683728592]"
"[0.4910824937385658, 0.8746322789884774, 0.5628961694533359, 0.5206848429382106, 0.5297728207921719, 0.40802498799061365, 0.35499310925854427, 0.10432074298870136, 0.08817072726511554, 0.10460987929915638, 0.10349378387654401, 0.10789475568607443]","[138.3005029327277, 140.11196813441617, 166.72687025483782, 175.3974803496612, 73.66780987739416, 144.51680546300662, 75.88867574053221, 139.374057635226, 110.41092480506005, 111.28263045792401, 81.92391707194587, 76.75585181765899, 74.1379186989723]"
"[0.4896027405270269, 0.8674040328853709, 0.5298001114790073, 0.4866338337833329, 0.4886293248149157, 0.3990304967543582, 0.36595044286705203, 0.09296610663772964, 0.06517670227266313, 0.11247909786743457, 0.09877888036758463, 0.10068841436546552]","[127.41972250410335, 138.25976628389105, 170.5622004801774, 177.2694529476557, 73.8727184426893, 136.43143457826562, 75.42364130573223, 133.3270016455229, 109.26211669135448, 106.07234053715783, 75.00956136427227, 73.26320439757241, 70.58323962051773]"
