Distances,Angles
"[0.5118153520051832, 0.6610557888228428, 0.6034745632660478, 0.5855310671765488, 0.5442852684906195, 0.2509151358699379, 0.14755997322067074, 0.1057591849516974, 0.11305309817158854, 0.13856284735649813, 0.12064443616412837, 0.13435609156548456]","[124.72084614908655, 127.90768028753676, 103.46635664596333, 108.64499186870978, 79.29710803571228, 127.66159686527216, 81.59844209232983, 124.25505026797097, 104.7914951762351, 110.20274843894181, 71.02352457701964, 69.21253676451768, 71.37705533268432]"
"[0.5271476822583235, 0.6086161791995328, 0.5430790754019131, 0.49552810930822183, 0.4816637364069732, 0.10176534873626952, 0.13830915846639052, 0.11637847269598502, 0.09750906549971827, 0.13593531704164463, 0.12733006917881423, 0.14209489729372676]","[133.704616639691, 115.80277923762998, 71.81789104248368, 135.62281451347042, 37.85732236202129, 160.42425055272912, 27.693189295183476, 164.50812221500303, 53.6189070916173, 142.64168597046745, 73.5965788251566, 70.30703513510066, 68.77590931148477]"
"[0.5354432477183451, 0.6241321647217859, 0.5425526551575393, 0.5028325492195954, 0.48797455142995166, 0.11720397941398045, 0.1512984783329799, 0.1184135325681667, 0.10392312036991203, 0.13800205306056346, 0.12501054370652998, 0.13868589957211544]","[133.1965626308446, 120.33267124601066, 88.02572535445027, 123.76290758496225, 52.897743793083976, 150.2218732598227, 41.17385633851968, 155.58233082272764, 62.42977601977202, 137.2000294092774, 71.61644688019739, 70.30054927206801, 72.35599006096052]"
"[0.5297823896132045, 0.6230684882507501, 0.5419723895887651, 0.5007653854651569, 0.48331360565086, 0.1306118426099759, 0.14191155851358161, 0.11834401402745963, 0.09972108462338498, 0.13258225373867577, 0.12430477535478263, 0.13716008020386147]","[134.82560636803865, 116.6263039499766, 93.40240541726851, 117.32152782631306, 54.8078370539237, 145.1573795347896, 44.557787754535255, 148.82457120815022, 69.43427616500745, 130.458898970315, 72.65239752405628, 70.06707997814809, 74.13237212339136]"
"[0.5574371179255031, 0.646794968860242, 0.5821665005128006, 0.5438306245217938, 0.5261489448987535, 0.12026608916904924, 0.15071679358065562, 0.10415311592198656, 0.09997807202375918, 0.13678750506637166, 0.11912819036357271, 0.13408373039484897]","[136.2589245844423, 117.26809067482013, 103.8804498131011, 110.29477084722627, 78.37071709624476, 132.7038519868946, 78.38232610017505, 129.88869314044297, 104.75108731069437, 112.19685517436724, 69.36103530211138, 69.76747084397576, 73.47323841689077]"
"[0.5426828959696023, 0.6151464082300289, 0.5657943222779825, 0.5284812075955138, 0.5022761639329996, 0.1084664385212138, 0.13609388767541444, 0.1116274223647717, 0.09382513451407819, 0.14160343781160825, 0.1219090567620846, 0.13813089623660862]","[129.26841607770874, 125.83866214668404, 79.04830919501205, 132.88656887727805, 57.76999162254305, 147.89335929941112, 52.67134718003203, 148.98955319047363, 69.26806952437859, 134.84991116022707, 71.78365875207271, 69.48975943667146, 70.2773086923826]"
"[0.37154319841465216, 0.5196144223657624, 0.455410512972602, 0.4121651273237436, 0.40603321859916036, 0.17758561992531552, 0.10012801916491494, 0.09127777999040153, 0.07511807691238219, 0.12495382178409264, 0.11136392664033831, 0.12108710599743704]","[105.66138038140708, 114.15635276365403, 55.810046077553096, 150.62007998452245, 38.922392180397935, 160.745798956849, 29.656881116577527, 163.7072000483657, 38.909007035112744, 157.56828801665503, 65.82244207898955, 69.68785132472074, 74.97569160023924]"
"[0.36305243343079174, 0.5499086200633301, 0.4475738829243636, 0.4104819019865533, 0.40127918716093103, 0.20037851226739034, 0.11952670458018337, 0.07634868572303308, 0.06203022031262118, 0.0989163129454186, 0.0983400971233675, 0.11743793580296868]","[112.50355416191731, 103.38038951564032, 56.53792076829816, 145.9896768227768, 40.74761352125636, 153.0725695566572, 41.55408709287838, 150.28398625534413, 61.51854410234681, 145.041866354187, 71.16551756987147, 71.72629588381729, 74.32786401618247]"
"[0.38916681095157607, 0.5395633347116114, 0.4653294615719299, 0.4179594000797477, 0.39539413511866167, 0.19980874511223085, 0.10430021677374682, 0.09730161361138721, 0.0883111650012023, 0.13661430022117754, 0.11928367855023173, 0.11793710292588616]","[93.12567396835689, 136.82112690177544, 69.85996584381192, 148.67967425575847, 58.64288041044994, 147.44608024538618, 50.476415924156456, 151.49565642884772, 39.6402139367708, 161.18723835539714, 61.81602362782443, 69.89163402197266, 73.89421381768676]"
"[0.39934566068850746, 0.5417584470622574, 0.48484108283712296, 0.43637952074484265, 0.4170282982227506, 0.1943425480538319, 0.10388902392074659, 0.09774490934516906, 0.09328091855950932, 0.13649921657629493, 0.12168591804336762, 0.11762832012605713]","[92.5577631316331, 143.49192662673053, 72.1555801921389, 152.76296931676103, 63.890631081355835, 150.82879412417444, 59.35676570200234, 148.72957881616384, 52.21343525129782, 153.26809252101546, 64.13986898889794, 71.4971440898267, 74.57531447273718]"
