Distances,Angles
"[0.51723430073302, 0.518340405084038, 0.8947492009392004, 0.8470379456817424, 0.7172021085463658, 0.10345202931636291, 0.4515702725298225, 0.09095015588575509, 0.15220937611209415, 0.08400416895371861, 0.08208722105022546, 0.09795853648945557]","[165.34063691476342, 113.12340147611765, 86.33656180930151, 148.06114060117244, 170.43772171104018, 174.92361936495246, 176.53343394666464, 175.50780770082974, 174.2927444127949, 179.03055443402948, 83.51005369482581, 68.5796809628661, 61.93670957430635]"
"[0.5122541693795324, 0.5357432661191887, 0.8866383734633705, 0.8445529948038102, 0.7240999895053665, 0.09994731667788209, 0.42106755346311986, 0.09068992530915516, 0.1441942397508909, 0.08358231192496299, 0.078182887444886, 0.09351156598717875]","[164.72417029940812, 110.30060241571121, 93.14429017894932, 143.23330823302132, 170.0520398991495, 176.30950015451373, 175.25665219839033, 176.50520439419327, 175.05109569671123, 178.8865355525453, 87.27400822622346, 71.4942987380408, 62.9565898546468]"
"[0.5289761436946189, 0.5464355812766999, 0.8909419717792545, 0.8545830253350503, 0.7283876961277668, 0.07194934578687717, 0.42448414236766235, 0.08099413144203439, 0.14708070946603002, 0.08429513755003297, 0.08105059467051036, 0.09411905855941118]","[163.31297054441075, 119.22920168055106, 89.30592612385587, 143.93628477839056, 169.76473313385932, 174.60628829198097, 175.9429616772338, 175.3752742061187, 174.2079691422245, 179.52446513987022, 86.79265603870574, 70.46281661582172, 63.6508319589829]"
"[0.5199779189897114, 0.4965853466090406, 0.9004068422302396, 0.8602190927009551, 0.7230296124622221, 0.09924883065288113, 0.48212566265870216, 0.08835191550757528, 0.1605596492485699, 0.08822138602492957, 0.08654525473691183, 0.10124288336719794]","[161.9771064325087, 118.44136152997955, 77.8540616813244, 153.78139248857195, 170.03396261633907, 174.94222911723003, 176.05616793089945, 174.4756627081982, 173.33212093734235, 178.38060083492786, 84.085587585778, 68.09955648615238, 61.73598721293353]"
"[0.48765229459029447, 0.5093185483223409, 0.8900685189136912, 0.8465048220238561, 0.7192544474180672, 0.08532131480156889, 0.4513932790168208, 0.0894530030434666, 0.15356577415128025, 0.0848986204472112, 0.08216926845294538, 0.10007171788788953]","[164.83675015846632, 101.30042734073214, 86.0549708787713, 150.30990454159584, 170.41183299634338, 174.29857268192927, 175.31043467146546, 174.93296808512437, 175.11823428368348, 178.19948929378634, 85.816090347917, 71.14045182250494, 63.87816104502386]"
"[0.5562106571660221, 0.503922775685976, 0.8808542088704049, 0.8285410270969569, 0.7228667460795367, 0.0927518778322868, 0.4159779395958639, 0.09350647798593391, 0.13784159587783484, 0.08674161196501026, 0.08345215203131967, 0.09974791502774588]","[163.44129723872834, 113.43977873342588, 83.69064717172466, 149.03744214934565, 170.3015781369503, 175.62377149609216, 175.62073580519305, 174.96495069456884, 175.9201847974024, 179.2556510737116, 85.02641015843858, 71.05944934149673, 67.69912075393069]"
"[0.5628829301678249, 0.49669336716234896, 0.8831790035000209, 0.8334325930526794, 0.7256257028131554, 0.09958394521746121, 0.4275438152708479, 0.10101131072723582, 0.13929631644939933, 0.09146752925967605, 0.08592200550015004, 0.10094559427918855]","[162.42198574801225, 114.38573534026438, 78.13486091138353, 153.0280335825918, 169.22446945451117, 177.02587876928638, 173.92155907459608, 175.74401287724794, 177.21849211181365, 179.52510070702624, 84.13621464644903, 70.83399182588856, 67.25683835506524]"
"[0.5645978775417055, 0.5065611792242823, 0.8836538413258196, 0.8351019552959892, 0.7292522194085032, 0.09803947711511447, 0.4206206795867219, 0.09204368525590993, 0.13582819899022935, 0.08539404687446324, 0.08240592459615351, 0.10072395788210499]","[163.3904185001136, 115.63341311666743, 85.55510381809452, 147.22580716096888, 170.57305575944054, 175.68592469510645, 176.21188494247116, 175.38620795051042, 175.95703830354887, 178.83947246511238, 85.46285545084052, 71.1199974217774, 67.98987470866669]"
"[0.5572041539342586, 0.5062844813919918, 0.8835015323104426, 0.8296877791741494, 0.7232539654372044, 0.09061208058736088, 0.42077302282247553, 0.09451267023141, 0.13903420650734197, 0.08528590880189224, 0.08239486170261859, 0.10021768059543232]","[164.61824633747992, 114.32791631097392, 84.71875948619306, 145.89061991616288, 171.4355121268373, 176.64219943511208, 176.56702745463303, 175.84032547930934, 174.73970885490357, 179.41304122573885, 86.51054313947235, 72.31892458843099, 68.3177968625834]"
"[0.5540362297474988, 0.4951239140825193, 0.8826154984301458, 0.829285888715652, 0.7201886128432324, 0.0925913286671256, 0.4298360711957217, 0.10220686316412964, 0.13749197682506917, 0.08908332425913315, 0.08382195393930383, 0.09943438999036204]","[163.15205215502198, 111.03571534446532, 79.27133334052692, 151.28069608315448, 170.7739555450253, 176.2832628741915, 175.86851689167392, 175.62584381025243, 175.75808990303352, 179.0711104098696, 84.88077543403324, 70.60550142824694, 66.08193687215018]"
