Distances,Angles
"[0.5929464441679158, 0.7930744200511989, 0.30410622116106617, 0.25002732287606255, 0.2397309104474332, 0.20970071902725387, 0.49017842838631, 0.083836798795431, 0.08854621280547036, 0.11025889119373586, 0.10103511676244105, 0.09868833408111277]","[154.8284994757312, 172.28471156280622, 164.54034228766938, 170.30356468447746, 44.766941989432596, 111.65103755320447, 45.59894508389731, 118.88780328399733, 63.27967606249561, 121.21123677400453, 59.98611319344773, 66.55398426145645, 76.64915930418958]"
"[0.5834568572973791, 0.7747256043750622, 0.29597535682346465, 0.24347974463584635, 0.2387007160011046, 0.20393970404909897, 0.48133010653471825, 0.08637309825722289, 0.08812168663144584, 0.1101814241479671, 0.0993147515343768, 0.09954861367446396]","[153.65527423865575, 174.9235173388679, 165.5074363741863, 172.27566874821824, 49.32741937703138, 112.36202429385304, 47.02288298674108, 120.50163291535506, 66.57600024290718, 117.34205578165599, 62.02879581068955, 67.64020214354383, 78.4646888201759]"
"[0.5915650801929986, 0.7915336298785035, 0.30711446676804627, 0.2545924989293236, 0.2463304335024132, 0.21215369042639454, 0.4851457249968569, 0.08373630811945684, 0.08229275969930101, 0.10847175663260243, 0.09769281995679882, 0.09649171883249547]","[154.35518387905915, 172.99197967051467, 163.79432052564613, 171.30811601834415, 41.87756085505634, 119.49061820311488, 42.09152946938795, 125.56726024278464, 54.60306153175096, 128.31410029298763, 60.50967570280217, 67.46421056249872, 76.09556192945831]"
"[0.5743346077465035, 0.7988381558861064, 0.30159605442120707, 0.24248783592774167, 0.23561976701502882, 0.23662927305774906, 0.4982487684368417, 0.08546974346102086, 0.08584037979375073, 0.11032277027831815, 0.10071039911870952, 0.09812232296153067]","[153.63861716091765, 168.81262841303638, 166.1308852377009, 170.86023831992057, 44.075233678312635, 121.8708081742436, 45.04818714020865, 126.89041900663209, 59.033655841506125, 129.48985750299295, 59.515134620802336, 67.3551555673624, 76.19543098474131]"
"[0.5778692244985075, 0.7686832909348784, 0.28893295864787744, 0.23767579858132737, 0.23847145190695893, 0.20451772527878198, 0.48084053400426774, 0.08314296726707689, 0.08843414433870779, 0.10861058563139385, 0.09901019746007679, 0.09836077638883266]","[154.4709387567662, 171.00700298748754, 163.85373407530636, 170.96174298869713, 46.04690936742431, 113.40303672569371, 45.97409099356132, 121.25080762744716, 64.16677095114203, 119.222126960711, 62.220073436885286, 68.1113667707012, 78.03432913939035]"
"[0.5829427698630288, 0.7289386661818792, 0.28998313606592424, 0.2421849079317248, 0.2417769452123477, 0.1687344096650892, 0.4394113249055618, 0.08424061447088742, 0.08565459848342166, 0.11190746412405482, 0.09946460030754956, 0.09971637470073164]","[150.661651995728, 166.1158155818064, 164.8346676609477, 168.20486780380364, 42.948525013387034, 122.71103495118041, 40.45991323689997, 127.21475141122609, 55.19264931914887, 127.7185329047191, 62.59773323289831, 67.2523179679024, 76.30919424873245]"
"[0.5558061539970119, 0.647127746380111, 0.2801479076343516, 0.22598238062208573, 0.23107803200474208, 0.09916623399162777, 0.3670547536977741, 0.0870422611311143, 0.08846213264427061, 0.11350731188448583, 0.09524543634536915, 0.09645992482260442]","[148.57074095153575, 160.39756581475103, 166.8692415996755, 166.226650003338, 35.337085647347344, 121.10343274835351, 34.69223795259372, 131.4607202268934, 47.25410757779895, 133.92019678297504, 64.69198013317981, 67.17647699607971, 76.88549179746475]"
"[0.5653764245819538, 0.7118422693778171, 0.2732122074162168, 0.22861891896919603, 0.2297932472248341, 0.15926825669886788, 0.43866432952542633, 0.07346996104528952, 0.08955296621167348, 0.1115214674679532, 0.09645966420759905, 0.09753641705250513]","[149.96593576464736, 165.92230394760634, 166.70835694447584, 172.13273380699562, 37.30487615924137, 128.67634697948296, 39.2416226763725, 133.2094587339557, 50.197396750252736, 139.20470002593032, 65.17267002427467, 67.20702637531426, 74.01024361227566]"
"[0.5658101692648445, 0.7193724054039621, 0.28459314542908387, 0.23744479466263266, 0.2331060102428151, 0.16906399395600685, 0.43575978940937216, 0.07786873716424021, 0.08620278433105855, 0.11094901403346429, 0.09705328968101884, 0.09921932169279396]","[149.0992687446293, 162.349227391405, 165.24493298246264, 172.3364149734026, 42.49422570732155, 132.56422263810356, 41.190392652183974, 133.95103504409516, 54.398695671310364, 137.22691155711541, 64.23812476655432, 67.02825488567335, 72.46924627783007]"
"[0.5651467327198115, 0.8207329231955285, 0.3050248688260506, 0.26237156729006983, 0.2609199166482142, 0.28615664661860446, 0.5250224198957094, 0.07960953747219326, 0.09335653674556722, 0.11952147013604845, 0.10394403228821648, 0.0975884866073605]","[150.46619631750787, 158.44862112569464, 170.9867607804051, 164.50245704849965, 36.12824972181263, 112.97116052430401, 50.38091183783613, 112.47041338745181, 56.88307125494218, 125.7317744971705, 60.97520030395556, 68.34569020860884, 76.4236913070279]"
"[0.5782204559032686, 0.8223034744577509, 0.30191732981084496, 0.26478512045563846, 0.2660759165194334, 0.2697711329179231, 0.524676673641027, 0.07179672328659158, 0.09515604929664186, 0.11575524617110586, 0.10165481163069695, 0.09694280799552116]","[149.63474273520333, 160.9776551223868, 166.98919487517537, 166.05292431633666, 38.87628289357975, 115.22151507135762, 49.59847170043032, 112.91733343640773, 53.06259503992014, 125.03018205313354, 60.316143805107885, 68.19445145559595, 75.52330209240087]"
"[0.554240881067246, 0.8347629429985429, 0.29796759599731787, 0.26063319490319736, 0.2575487816277761, 0.31440468889369727, 0.5402774156140331, 0.07092143374442002, 0.09082462593586954, 0.1150326626186335, 0.10094802795309103, 0.09682945893967738]","[149.2664845361019, 157.95458315990666, 168.02053898352324, 166.64030443789636, 41.51879169902704, 115.6958689025559, 49.630005942529, 113.98015075375156, 55.77118582587879, 126.10651365694955, 57.54037353123812, 67.30906786780004, 75.89399656759369]"
"[0.5581020268312666, 0.8297611981969757, 0.29890053958422813, 0.26064998777195647, 0.25461637848948687, 0.3055075328798243, 0.5348443397532469, 0.0751752382000928, 0.09182139712835723, 0.11552665213743922, 0.0998529339970483, 0.09632255371930337]","[150.74908235482556, 159.73456919638508, 167.38515549395518, 168.04741594389847, 42.331988531116764, 113.95452223817392, 46.98020671752435, 115.65975101399445, 54.50315733379552, 127.83473556386116, 56.17459101762957, 66.34465642531416, 75.34498779184005]"
"[0.5560771825363042, 0.842229682480059, 0.29361041725165415, 0.2624725942713496, 0.2596255780572542, 0.31684913649329743, 0.5503797947245613, 0.06462938081019523, 0.08856660432899517, 0.11505690548769631, 0.10234379801305121, 0.09598299171031205]","[149.6981315009001, 158.74492449048662, 169.34117718429837, 166.00920754103862, 46.28832172933136, 115.61880087313307, 55.95752376826196, 108.93564664920137, 63.03882157604524, 120.01129104060541, 58.40613148360932, 69.03795159031705, 77.57814288264174]"
"[0.5788887535249454, 0.8896607197966794, 0.32580857211346137, 0.2689983501988196, 0.2902788557125787, 0.33020023141168564, 0.5720695870571959, 0.09168594314771242, 0.10383153870667185, 0.1251652399223313, 0.11034506354759717, 0.10623376297516571]","[143.60149158288624, 157.75480652490236, 162.82056843596902, 169.5397813567326, 56.18753103782368, 125.2356121563543, 56.259757336475495, 123.07287638905683, 55.28808160754486, 135.44257905960066, 57.85001464174797, 67.06351889934379, 73.85267229043751]"
"[0.5736541877529757, 0.8854110889206525, 0.3329908877606554, 0.2808649172683187, 0.29323251999623834, 0.3299517382811733, 0.5658687740466921, 0.08751849840536448, 0.09334226889832502, 0.12380055459105944, 0.11103647589993124, 0.1044068878688891]","[144.81330245447916, 159.57871517053022, 165.5304138099725, 170.76933038843092, 60.28109114981104, 131.6687992056155, 60.298696743999585, 120.0528729198089, 58.913440638688634, 132.0979822975833, 59.08293777325354, 67.9266833993359, 74.53868487576756]"
"[0.587529565311436, 0.8852219840113451, 0.3354056890301456, 0.2757295006112631, 0.2974879239148315, 0.31908451826057305, 0.5668092183568176, 0.09824795750669955, 0.09353489591697549, 0.12006495883155606, 0.10936771816961245, 0.10358194671102561]","[146.10357473766078, 160.94247964373199, 163.95838215334967, 172.83127457985185, 60.437688951660306, 136.9537335002858, 59.09113919083772, 128.8692137477569, 58.38659018482667, 136.75686111558397, 59.17522096817956, 66.91150792827666, 73.80980752447503]"
"[0.5759675446961593, 0.8964792145244512, 0.3308058062573546, 0.2780790118784853, 0.29173556977984927, 0.34169734439667027, 0.5789742683415702, 0.09401007614411769, 0.09909700312401183, 0.12731978809463745, 0.112778872420115, 0.11033143257673979]","[144.2044268443937, 159.16889508064156, 167.08544413456508, 172.5536196686674, 57.08624493904552, 135.9844854765361, 57.63978524168004, 126.90831756150826, 56.27306426585561, 139.37323255440631, 59.34700206319018, 66.98135073840844, 73.72533775041082]"
"[0.5723078564019243, 0.890989697954869, 0.32739357884015496, 0.27530871059409207, 0.2957267840992428, 0.3380033843904616, 0.5785818536255335, 0.09268132921943127, 0.09332529137950263, 0.12132269255929566, 0.10936226462013739, 0.10322805058659106]","[145.24910877451805, 159.94104888210197, 163.4240732314711, 172.34513396468222, 59.56338464792916, 132.6980208082995, 59.799023464745574, 123.30802303221485, 58.30188521288822, 133.26843559532773, 57.89486525850373, 67.74689894790741, 74.48200157436871]"
"[0.5786255582192968, 0.8351215097427099, 0.29782180280551723, 0.2389929684822572, 0.24601775338800516, 0.31658736535956383, 0.5512857024946771, 0.10568094142093913, 0.08534014009820935, 0.1166714002730814, 0.10766462459358729, 0.10983577508539506]","[148.31025348888727, 165.30701983452877, 167.11449586364918, 174.28777974282156, 46.99574206129904, 143.18798929351806, 47.273821704677516, 133.93186005865874, 40.94114135508265, 142.78367652238896, 58.55870033669584, 62.78589557376038, 69.22924206734743]"
