Distances,Angles
"[0.5234962649786437, 0.7457345631566984, 0.7791224300078368, 0.24629630107089875, 0.22300106201382408, 0.22326967012490287, 0.10943403213768936, 0.5662684404364452, 0.07213845982852221, 0.09776132486086149, 0.09393216976256274, 0.09946568300524859]","[149.5245873099346, 172.29373431251236, 173.6096843694684, 176.4697596733624, 176.89757257325928, 166.22590839448202, 58.59893970983643, 151.53895110547197, 72.47224138913433, 150.14910645198776, 68.06815905101521, 58.98506284843008, 61.60239900919042]"
"[0.5301229193047877, 0.7752512229963098, 0.8090774975762657, 0.26687671340579394, 0.24172301162410925, 0.254770818404365, 0.10237246347124751, 0.5600484314609425, 0.07766067705659838, 0.09732248617725675, 0.09416459812515039, 0.10110345589047508]","[138.55552754154644, 172.8341267479723, 174.31228695401916, 174.1745575949665, 179.50725779316804, 162.5744945250709, 56.86509831400196, 143.82787281082904, 58.42374867058684, 144.9641036297855, 69.7656242256865, 56.751779464600425, 58.386168217674424]"
"[0.5086393003588208, 0.7726865617871158, 0.8116347501696041, 0.262355375295656, 0.23445725541157594, 0.272645858201471, 0.10963388500032323, 0.5686299283007092, 0.08157637490264164, 0.0951233847111833, 0.0948278647597844, 0.10425491761011484]","[138.05151372082724, 168.1303371750318, 175.12886538031933, 174.7928589820549, 178.6244090745743, 162.79007635072165, 57.89607938594763, 144.53929442656894, 56.52221977365345, 146.59188304756972, 69.73683254794372, 55.61992302775513, 57.41699423320029]"
"[0.5110916786799294, 0.7793673893178158, 0.831996521173276, 0.27438192555099367, 0.24308579983520184, 0.2749541730027804, 0.11313649865801072, 0.5766501595820089, 0.08305190034216045, 0.09932657524953634, 0.09974584084899003, 0.10971964847087673]","[140.87833314515, 168.54739117504604, 175.88521058944102, 173.78677210071464, 179.1665082499846, 163.32652247134078, 57.26397029579693, 143.64225609031203, 53.76812986350732, 144.98842536314484, 70.54480220158649, 56.98351482823733, 59.89348047938274]"
"[0.5322490671480483, 0.796688771320291, 0.8476682150493202, 0.27581547872042106, 0.24148151009051505, 0.2724933058557699, 0.10303297600060689, 0.587703862618836, 0.08370183011515014, 0.09786676433370795, 0.0986803886859788, 0.10670750258580865]","[142.4939564130153, 169.0007458909888, 174.50605727236803, 174.66194130670868, 178.0480843756458, 163.79738587142023, 57.54828538833575, 141.93481290683815, 56.34330893221623, 142.07150436646634, 70.25659440513147, 55.59594228525108, 57.60493547538417]"
"[0.5094618293943193, 0.7687562467909403, 0.814999288783996, 0.2756870711232185, 0.24939702578543008, 0.26650833159770365, 0.10365880682819777, 0.5562884608789246, 0.08001151374153732, 0.09581849253352565, 0.09735027203622049, 0.10870307764391438]","[137.70298998176233, 172.37054613468754, 175.249301432927, 175.4900486031921, 178.01204457502504, 164.4886476002931, 53.01063087444796, 145.79822082162698, 52.890618568460745, 146.11327816227174, 70.49753592063536, 57.041003404841796, 60.12811909261987]"
"[0.5372407659752657, 0.8260970096472082, 0.8611467271756127, 0.29079119043426244, 0.2492174820720101, 0.29683079066920864, 0.09813023237508078, 0.5886962525826298, 0.0918678718654058, 0.10271950197821955, 0.10431114919519172, 0.11227314641146889]","[145.45535878938648, 155.5473309293872, 172.39446091305803, 174.7768280580284, 176.6522519869471, 167.25193848811753, 51.62993821916358, 151.74554468614923, 51.698827019248945, 154.00636850055764, 68.79737243657983, 57.965590001522266, 60.1345553070654]"
"[0.5252277222427888, 0.8269822019826003, 0.8589215961959873, 0.29122825803498087, 0.2467009442622634, 0.309128755057682, 0.10214095641556527, 0.5886519265589211, 0.0967339934611459, 0.10405711293530862, 0.10483862997086944, 0.1124999708410787]","[145.9704865435531, 158.1916913715118, 173.0299159556539, 174.09655913248827, 176.09828666378704, 167.1058889441968, 50.69018674202512, 152.05540361185243, 48.76290709211184, 155.13313519633573, 68.34087443679776, 59.51281827370502, 61.555231488466454]"
"[0.5267549253893691, 0.8086865193575742, 0.841395514306318, 0.29011340858190166, 0.25339266085221596, 0.29141656166598506, 0.0944460593156596, 0.5678771929210835, 0.08849709755877148, 0.1032521470211188, 0.10161284188952488, 0.11005617462395188]","[145.28587326908496, 151.23239833719077, 172.92279962980143, 175.8245139259228, 178.38365377054973, 167.74893269992864, 50.361277666983156, 152.68716133467532, 53.700870611188265, 154.42486403984344, 71.98417357307892, 61.14334466154833, 61.98070204588044]"
"[0.48349551645955585, 0.8199753198432608, 0.8594705746138067, 0.30053543144152467, 0.25873974728213595, 0.34518291257946515, 0.10110814114821662, 0.5813516328451122, 0.08933033873454359, 0.09989804095531629, 0.10057526567806292, 0.11187793628580164]","[144.44765640561556, 139.07314524537276, 173.3724924152922, 173.92985185496119, 175.91908141268632, 168.3605095613042, 46.79968840313542, 155.69457011113064, 46.227814448798846, 158.99624149180795, 71.11230748345969, 61.654179605276624, 61.93395594772408]"
