Distances,Angles
"[0.5849535275112244, 0.4384311707576626, 0.35837690939508693, 0.3234167602325094, 0.8388012756370625, 0.1949797760817122, 0.11044522948651098, 0.1119075801146961, 0.5357921166684647, 0.12948885969556748, 0.1147475321056736, 0.11942158071327545]","[132.44142325729476, 133.0596387759902, 46.76205582435167, 166.30181343901282, 51.55902540140466, 162.2495379086032, 39.09015879725206, 161.75031919399672, 166.78488782329785, 169.34870218808277, 71.60728456961098, 78.05521510400888, 85.49333921951889]"
"[0.582148382015961, 0.4342609821237922, 0.35188551650561245, 0.3179123921542772, 0.8327387081375415, 0.18546135002896025, 0.10999911222820104, 0.11052551258806705, 0.5321959482952054, 0.13042565025388284, 0.11282900793269303, 0.1143107211543455]","[132.42673428937968, 135.3935106701492, 45.10255412383457, 164.06130460211466, 49.377356111675816, 161.99282900755654, 38.77024049429004, 161.9415584234493, 166.0431938110995, 169.59378205377413, 74.13908596774455, 81.48743375149733, 87.91721512621842]"
"[0.5804160335767108, 0.444198409301004, 0.3556631756791848, 0.31686708483937087, 0.8379844933852498, 0.1889336140428251, 0.11720222948460096, 0.11210575794846427, 0.5401528004239601, 0.12956853029243875, 0.11343654871282109, 0.11604435451056339]","[131.99709276600782, 133.82715784972896, 44.82499862947712, 164.794572135157, 48.75453952388532, 162.44182820084896, 37.737148567829635, 162.14971934262036, 165.80520338048626, 169.85269562934445, 72.47467234169612, 79.62337819419766, 86.52427212464644]"
"[0.5845854077771175, 0.4516525481741308, 0.360311671400395, 0.3282358833908058, 0.8503371474113658, 0.18938504111353968, 0.12087226394933329, 0.11256674907935643, 0.5408625961302704, 0.13135158561371438, 0.11588422227407107, 0.11944690257670447]","[131.19617196938103, 132.59031561087065, 45.38284124350571, 165.8651289744116, 50.937118996829525, 161.47832641202461, 39.39960972359476, 160.9186341173764, 166.34746860656762, 169.1761482250329, 70.9028448726209, 77.6234419813503, 86.1154626156763]"
"[0.6030514385133746, 0.43366224555190314, 0.3608184849963641, 0.3238673463334076, 0.853787412565047, 0.20254919531838184, 0.10352295674728387, 0.12412600353552576, 0.5449775184787945, 0.12356196387098049, 0.11680046333231635, 0.12546342954604894]","[134.48173044180896, 137.49938545202386, 48.5019476012478, 165.39052704605191, 51.436131140284346, 163.0459601553893, 36.479920321319916, 162.8976888062223, 164.7036075143988, 170.63239548282854, 74.55958761795627, 80.0845701968022, 85.10803863685491]"
"[0.6231621100205847, 0.45424275214712934, 0.37449732969104205, 0.3106421559255767, 0.8714381149379546, 0.20454879009910373, 0.10814496633600344, 0.1084515312459972, 0.5886200687086278, 0.12104994636044207, 0.11297980798374234, 0.11870207642160736]","[140.66552517685432, 131.01204228355837, 41.794790844905606, 166.45210218553768, 49.94438144752208, 162.55744223897128, 44.930123914517544, 159.64063093844769, 165.8972463993295, 169.8469945526661, 72.47174785386066, 75.1168233411904, 82.08645645492238]"
"[0.5671501868179659, 0.47785858816534965, 0.48371826798177153, 0.31502227421281326, 0.8422894687987508, 0.18442708696663174, 0.09434597563453549, 0.18283414825819577, 0.5431366854791316, 0.11252238407878849, 0.10110300877397262, 0.10795054233792632]","[136.62023666583212, 123.7051444149173, 32.22944406820349, 170.43027538527747, 26.94032308515437, 155.89066921264688, 18.356707750142274, 169.84528446084494, 166.7792672725787, 176.02694969129453, 75.54987607114059, 75.8674958049638, 83.74770462816419]"
"[0.573086540148217, 0.4747563045689493, 0.4617399198726508, 0.3183526057687312, 0.8549829381057317, 0.18913452836316705, 0.08350492576532255, 0.16098157982870295, 0.5509164465151438, 0.11331782698214735, 0.10242593505737055, 0.10951245497434452]","[135.7579592356173, 124.50496815776232, 36.515791891284444, 169.2317648376105, 34.930995532204044, 164.72934405314416, 26.228468754454482, 166.5226679979347, 166.20553403782708, 174.2702442299239, 76.51161590538598, 76.14740234290325, 83.92457902972257]"
"[0.5558170344967058, 0.4697015918670959, 0.4389940835127382, 0.30094810319619214, 0.807194243532505, 0.2061427201514868, 0.08989849196729463, 0.15150849582893203, 0.5229711032543433, 0.11836423217739625, 0.1070955310064263, 0.1094244672541625]","[132.93682446927883, 129.8798210653327, 32.65936406493598, 171.3156112351249, 32.33343874176574, 162.2494679271653, 26.623255426706148, 166.67780534787818, 168.70400619946108, 172.91366754546274, 71.79023929142052, 71.90920439458964, 81.2616268277637]"
"[0.6071450910013849, 0.524430322728388, 0.423491812481491, 0.3555847893312443, 0.8945991142109899, 0.13259538898951295, 0.12595456905308045, 0.12122820158891785, 0.5669507937514549, 0.13164783634385677, 0.1244237183716268, 0.1308346463563483]","[138.90985539660463, 111.69846985849723, 34.531027490979696, 166.74766836893812, 46.332624835644005, 162.4534191800464, 40.498641018251874, 160.14739339369387, 169.15154701125218, 170.55976488942414, 67.66079960337224, 70.67087950206584, 81.72471500354094]"
