Distances,Angles
"[0.6254655411050751, 0.8387313027590616, 0.834782945287422, 0.2606067723221463, 0.24655587645043617, 0.2363664383539543, 0.20828939670927227, 0.5865201299036051, 0.08877376823366587, 0.10955739665946249, 0.11210227570440041, 0.1134394410855314]","[150.1656194154147, 167.20322074874477, 177.13417217426507, 177.3166491188233, 175.5108395925133, 167.74502925142076, 60.222410739400274, 147.89879751528076, 64.11356653976198, 148.66963026315872, 65.23835258887979, 54.32932260120831, 62.73310091114298]"
"[0.6140055225738499, 0.8290833461468877, 0.8249912121873805, 0.25251200558398834, 0.2437018994127722, 0.23122737567275317, 0.20470860731340468, 0.5843943850637163, 0.08621638191786349, 0.10828255680383568, 0.11159942899452512, 0.11451116262975171]","[148.77412783291342, 169.0715682089794, 177.44177819787572, 177.42034471685523, 175.6784705480077, 169.01414361155759, 58.7960206333042, 151.16918931023457, 62.145798959056165, 152.59471013942985, 64.9084680832611, 54.621265678525425, 62.9770916083006]"
"[0.6216450666801726, 0.8402717178406119, 0.8304259644873303, 0.26114801707560337, 0.24550264433364954, 0.23668770578349355, 0.1972901553724906, 0.5817809290794966, 0.09321610667181243, 0.11138055517608966, 0.11259393978687966, 0.11359911949503054]","[150.13758714032787, 170.55384486320514, 177.3892476490414, 176.8771545105469, 175.32663585196673, 166.59268244065694, 62.650098662575495, 144.83558398856425, 60.592198873368524, 145.07516171729057, 64.16634289486376, 54.18870999987757, 62.30895137696138]"
"[0.6229509424431916, 0.842531268785896, 0.8483343354484543, 0.27709496488268487, 0.26565888704534146, 0.22987446498522557, 0.19576791310411695, 0.5878332253693038, 0.09197327464242573, 0.10997911579290899, 0.11447388322555518, 0.11693868159336554]","[150.3649173346594, 167.36035274661043, 174.65940892088136, 177.1899658880117, 176.5099465064745, 166.66511446708762, 61.57912653900099, 144.75778299733042, 62.19762592054131, 137.76755513509286, 65.6399357487355, 54.93164083713376, 62.673932314490976]"
"[0.6192284612293018, 0.8342413122899759, 0.8496531381402187, 0.2884207048313807, 0.27443626449606917, 0.22335569731560692, 0.19119003651163552, 0.5790791531867595, 0.09055042552984455, 0.1075533761829958, 0.11297921166036137, 0.11406370834100248]","[150.50591800072522, 165.42717206568364, 174.82935838415972, 176.26421404181463, 177.63571809504188, 165.9094866355461, 61.91419885002228, 141.82080774496455, 64.8683147506804, 131.33707189077498, 66.57316991207496, 55.657835635089235, 63.53340046931835]"
"[0.6035294708839041, 0.812470373620212, 0.8302785403069326, 0.2647086386269795, 0.2176076100207652, 0.2164601586310131, 0.16553396678279628, 0.5865649359864851, 0.09297735609062763, 0.10206447876604398, 0.10445538888067817, 0.11304193449305747]","[149.86611934911673, 176.09683078378103, 172.8111028814119, 177.5713806458182, 178.84255639445178, 170.1575968198976, 53.611085308747754, 155.7938714422141, 70.2833719069002, 158.57745614153188, 64.52778634439221, 52.4764673179163, 56.00973195589952]"
"[0.6104581689869213, 0.8156314395533777, 0.8359404454458712, 0.26708546502308456, 0.21942027766969144, 0.21130675560134987, 0.16830633244288087, 0.5880547862726964, 0.08666890842389892, 0.10016893999546252, 0.10388164973493812, 0.11509400464256866]","[150.0960855274341, 175.87735350167463, 173.29497772457995, 177.7012066839779, 178.72477042295372, 169.37907855970332, 52.55501182688186, 155.26501864168327, 66.94781912077967, 157.81381865552487, 65.169327750374, 52.453225783866394, 54.64122193213411]"
"[0.6263240804086, 0.8314662030255975, 0.857567747650222, 0.29098239260148484, 0.23240409049561897, 0.20896042260854042, 0.15095811426112124, 0.5873969066831192, 0.08700612000279055, 0.10038403966512885, 0.10582309356398144, 0.11672857827157157]","[149.46517677037, 170.69755182120457, 174.03529372628435, 176.229276270894, 179.08874243017874, 168.47721017102782, 51.89160144677718, 153.7523839374392, 66.05391427543374, 155.49588621516165, 65.87160609264352, 54.316835798505075, 55.74765359932103]"
"[0.6238034475517297, 0.8333915811100224, 0.8631912799983783, 0.30075522111862574, 0.24088371411842519, 0.21165379090791817, 0.15997766261396232, 0.5846485521467771, 0.08855627943168386, 0.10018540668474282, 0.10498497226037105, 0.11505490554564113]","[149.534179146976, 170.84471519140126, 174.35457427168373, 175.430261382116, 177.90862896053224, 167.14806311063168, 53.86770462861149, 152.3236876781259, 67.71794967351221, 153.147113562999, 66.50207610055028, 54.78685843703153, 55.98905145100698]"
"[0.6226376258784758, 0.835480787620536, 0.8628090924737278, 0.2901085994234476, 0.2349457420989339, 0.21648883987866205, 0.15987604188736132, 0.5948183427697215, 0.08817369236432622, 0.1004918132287834, 0.10433032671102382, 0.11426634035601167]","[149.4417514949654, 170.59591325871665, 174.8518583755547, 175.088392801097, 178.7928486952982, 167.3332961699135, 54.21251835892023, 153.1032630292214, 69.87869367451381, 154.45770797725666, 67.61242502765045, 56.22181031332561, 57.57818646242909]"
