Distances,Angles
"[0.6005967967471216, 0.5407562130958274, 0.48755357872069666, 0.46264841443288673, 0.6788086927863236, 0.32499731453669595, 0.11867050797701935, 0.12343729319386838, 0.2974714152040797, 0.11970938771403211, 0.11444974097610608, 0.12012331355258689]","[167.55258058765946, 173.9639874098774, 104.31791276226244, 121.66570848022624, 58.70222378110656, 153.76315148566738, 49.55200251625096, 155.21180730295902, 175.4990462204713, 158.10768827466183, 66.36553931787358, 71.42040518933202, 73.5960692797942]"
"[0.7024043405598273, 0.8659735857288918, 0.5149124447048037, 0.45570668276362675, 0.45270543486409615, 0.6329346700534081, 0.4080891718095931, 0.10106271327450395, 0.11650045854743449, 0.1095610327597542, 0.10986284099832862, 0.11570652543445917]","[174.5360627149484, 169.1214579678672, 169.79787075315133, 169.9281794688927, 66.08106963814211, 150.07934360463176, 53.02963983237752, 152.15608436022455, 43.2762637680475, 150.71962433407722, 79.37367320476616, 81.36116059836759, 79.46350212360399]"
"[0.7751734776289155, 0.8931272331380599, 0.5556228289031534, 0.4763618888531806, 0.46653128976056923, 0.6115631960027473, 0.3668543503229124, 0.11396880768441696, 0.11133857756711027, 0.10603864089624353, 0.11371028983333697, 0.12033874958814454]","[176.3204690085571, 171.66482198673054, 170.57309418834217, 176.70951735155964, 68.67134031425735, 143.70869543999868, 58.28209454861961, 147.99145668558944, 53.3395468513004, 147.86302348459685, 72.4431441228393, 70.01287460012989, 71.7787903231394]"
"[0.7079103424357737, 0.8768625620689646, 0.30248278940166456, 0.2550030743147276, 0.2636049948336507, 0.5114300554638501, 0.5882877262232913, 0.0953454740207841, 0.07845920108668633, 0.09750769955864802, 0.10688739549069312, 0.12041581218889078]","[176.9102610440151, 166.1612647817125, 173.86142452241913, 175.18737330594539, 42.3806156407679, 166.13411506912598, 33.25439162563484, 158.54149558038023, 20.994552535542002, 163.95962485465668, 62.361041951867456, 58.04849819808015, 59.258400897161096]"
"[0.7263817649754883, 0.871285035393817, 0.3098390826142815, 0.2538437038940242, 0.2727298249707012, 0.5040512670385531, 0.5759177000307191, 0.11451784675065012, 0.08055133799602128, 0.10525597032411037, 0.11188624954786004, 0.11422934801708139]","[176.93825186667215, 173.4549811554513, 171.73882726440667, 175.5875755641384, 51.16963311969634, 164.85093616555125, 38.14798907094367, 158.9743326737679, 18.78749164491304, 162.7138494873957, 62.57344434574415, 58.583593049869194, 57.538635607919815]"
"[0.6752862873249097, 0.8494697582792617, 0.3098597218511861, 0.25109939498548745, 0.2679281020130612, 0.4757535454274098, 0.5578599378675511, 0.10464373278090323, 0.07896356351107847, 0.09047884419150783, 0.10205236698021744, 0.12071547064563493]","[177.91947243045334, 169.0423037832238, 175.4984770478269, 175.84110543935404, 43.290877347954094, 165.6117011275893, 32.78738315618733, 161.58518684292105, 31.5560548767671, 163.95688750627937, 65.29178917700618, 61.142424045675746, 65.99955331541561]"
"[0.6772839214804774, 0.8686596994101928, 0.29233605671517504, 0.25039432466178624, 0.25429063024272297, 0.4855319374068684, 0.588255382975268, 0.0930224485946487, 0.07910246841348932, 0.09138640345087186, 0.10529801801984155, 0.11795371687676173]","[174.46309248643215, 169.00784114825106, 176.0323893517627, 175.71477972069857, 45.38149165704075, 165.67178083194057, 36.55519294898582, 156.79188687300774, 21.890875000520495, 162.15133115368485, 64.92589935271722, 57.58868109122979, 57.76308388899401]"
"[0.7178437922415178, 0.8725556836292977, 0.3288072378580859, 0.2709526417476433, 0.28268380185433506, 0.4857634263997273, 0.556692660209053, 0.10474677659893136, 0.07533081215521668, 0.0980935571226878, 0.10736149749488702, 0.12289119858175718]","[177.74540031228508, 171.78603821599071, 173.05051873561615, 177.15881192581534, 41.28017470758322, 165.6738111715561, 30.72240370532892, 161.67580615260965, 22.446541709742142, 166.50485640517903, 64.6468710700998, 59.92997028694764, 61.43714225847637]"
"[0.7166071471048118, 0.8513873342724955, 0.35409078001675026, 0.3187046388403122, 0.2907751943226805, 0.5342627300986065, 0.5109220945590701, 0.0798824533103638, 0.10009278358208482, 0.1112695823709843, 0.10752513542893824, 0.0994967309650303]","[174.31315200295992, 166.67339954102124, 172.0796940648408, 169.4937997858829, 21.028512553286483, 114.58152275282562, 23.607659208789173, 115.77689868062092, 11.971319920865065, 148.53802860503552, 55.659453434041616, 62.21959189724196, 67.7744556349827]"
"[0.711792739619755, 0.8530793075914573, 0.36157621943067797, 0.3241080178504493, 0.29299605715797883, 0.5249725829408731, 0.5115257497694943, 0.08142462460524126, 0.10310412534284895, 0.10701217114378013, 0.10607000710870189, 0.10117537572077093]","[175.14070784341078, 168.62375269896972, 175.03405185067123, 168.3363043760614, 17.412516584423688, 113.19525499034093, 19.387202823987053, 113.57922103179754, 6.417526738191232, 151.63857865005832, 55.70036890388239, 60.66294771999615, 64.96566830187187]"
