Distances,Angles
"[0.5910314235467237, 0.845337452187472, 0.6121955355045757, 0.5739669515813888, 0.5310342121816161, 0.4410617793473685, 0.4446369617845783, 0.07302224229165825, 0.08888020478626349, 0.10618062542494583, 0.09836110057126739, 0.07616091842891344]","[163.08909006118085, 172.053022774928, 174.98045451941468, 174.80759979965256, 129.79475112462234, 152.0820100492921, 129.42168320690294, 161.1593565469997, 146.15671697880194, 158.14309849991415, 69.9757416972757, 73.5309443495179, 79.35762982996272]"
"[0.6035210773509134, 0.8218499276410196, 0.6049602816612284, 0.5756237161315884, 0.529588627783117, 0.43887004121407763, 0.4244297060042435, 0.0677026883245661, 0.10194129394521634, 0.10649938636226279, 0.10163687332702746, 0.08270762722512658]","[162.89814580233548, 170.0345880255747, 171.09166492966642, 175.29166090951233, 135.12335427397815, 152.20051397324812, 133.2498051955983, 162.6367995020715, 148.16103624861358, 162.64231399043766, 72.36750131675117, 77.61281918081667, 87.97964915194184]"
"[0.559014052869897, 0.8564545377652448, 0.6176357397733258, 0.5693749012193794, 0.5314267561323289, 0.43405924869398194, 0.44744531741828497, 0.07996970717259423, 0.07779852290961317, 0.10388993919691292, 0.09396966939436045, 0.07044797094044132]","[163.4804146177861, 174.54597642948033, 176.80109169858463, 174.95369310460023, 128.61243311696083, 155.59960368090717, 125.72121046135723, 159.5755804486492, 145.22098888408917, 153.11686522880052, 71.77735983085887, 76.01864236588364, 74.56791440075446]"
"[0.5721090053986145, 0.8490581982104883, 0.6150473222748115, 0.5396560431384748, 0.5327940067242178, 0.37882456901027306, 0.4010008633530399, 0.10005428605227276, 0.07951015614114948, 0.11297558153085209, 0.10454393906707224, 0.07895751597268168]","[162.42023374996444, 173.42924236455414, 176.08125054377842, 175.70920908421778, 128.36195554049158, 160.40040437120993, 119.98330110893055, 164.18602280810964, 142.31330001195016, 161.68169835977773, 65.84355323939616, 78.29107161379379, 92.05601150386146]"
"[0.5668102558491174, 0.8341840772445339, 0.6055672059450219, 0.533446803695923, 0.5028695344018064, 0.3869928532128413, 0.40300300384760923, 0.09897665333761083, 0.07364501531654175, 0.10550928851913692, 0.09740856265183698, 0.07323292065817871]","[162.0293337583045, 174.31106594719523, 177.10023581776602, 175.35176429531504, 125.2166358819956, 154.26319117038088, 119.54858353239123, 155.9023676308962, 139.53153253640687, 151.217447216763, 69.75886440980243, 79.0698739495261, 87.92731101662832]"
"[0.5653190457967536, 0.9014369410124985, 0.5807144079598918, 0.4102723441679777, 0.48427508360197796, 0.4528611886257665, 0.5520553065340789, 0.17338192394980448, 0.1382437032610796, 0.1144442260388148, 0.1040690591103495, 0.08257559241259681]","[161.30124907047286, 172.14314018434075, 179.07945317181282, 174.1676056466108, 135.49175983421895, 162.50129942212888, 109.28803016193528, 147.47276131929067, 139.2981337968717, 150.89532903692813, 68.22744713686987, 78.13449597477582, 87.09333742607251]"
"[0.5714718868630828, 0.9045525788678971, 0.44373845410171836, 0.3958389310335136, 0.5151526633989971, 0.4504130206748239, 0.6316869901833172, 0.07318636734783424, 0.18080255669353273, 0.12373915229853978, 0.11396452168309171, 0.08926312885427093]","[159.63104685809301, 171.0155988737574, 177.94010528777613, 175.7847952781991, 113.65196558934286, 147.33576007866725, 108.07461615770167, 145.61137871730142, 144.98705901662214, 154.07168543628927, 64.8425885819669, 78.1379209098845, 91.0851920453358]"
"[0.5844006626439617, 0.9198070187984252, 0.5677937937984133, 0.37883743113374885, 0.37785099904310004, 0.4544153968520593, 0.5815040488799353, 0.18916204133602596, 0.10262393832877914, 0.134268134932991, 0.12388109770304653, 0.10197768683290655]","[156.63884910384428, 172.7551965988225, 179.50463786978975, 174.14234186406014, 133.83879505744372, 158.56066932892793, 107.33760970791045, 147.7762098500424, 129.39806545898054, 151.8420564086594, 56.55085075557358, 72.36698715284312, 92.90728568707992]"
"[0.5796211064843118, 0.8990906508900616, 0.4680016645134694, 0.36768650846434553, 0.41815842239578405, 0.4441790054201864, 0.6092154795733348, 0.10605074410984396, 0.11660635633885877, 0.12361910997800475, 0.11488541448441231, 0.09178786294395679]","[159.21032633682708, 171.65465820449307, 176.2728082062429, 176.1399047554585, 119.01978488070408, 149.60764317879284, 102.89500113884372, 147.99080222506777, 132.0243510994487, 153.8347377027568, 62.26346446099217, 74.05250086163635, 89.50060332575619]"
"[0.5954637640401869, 0.8997582996691128, 0.5290947143560453, 0.4013723218082148, 0.4612215855845139, 0.4342995748974637, 0.588006774603684, 0.12847353346973953, 0.12145988261159725, 0.1244598033934373, 0.11491706070453798, 0.09279329294853737]","[160.01498929195006, 172.3900497492495, 177.8294174507112, 176.0767609656613, 127.3564659731235, 152.2381206020425, 107.80058371259831, 148.70873001805896, 139.81969750706998, 155.20057455553786, 62.575414608624314, 75.86507547438514, 92.1265526423843]"
"[0.6291600434724747, 0.910626327664566, 0.6637247479979581, 0.3815318777944846, 0.28625116351912333, 0.5864664252027482, 0.6325564088736574, 0.2831140677647609, 0.1260137367598171, 0.11304341096018547, 0.10933731025635389, 0.09242514265802095]","[162.59628934205398, 175.25724452829124, 176.03678729233755, 171.61849277296687, 138.06597388911413, 162.3438657922616, 108.66959912358287, 130.68875678881966, 97.26237836554019, 132.81060720904728, 57.68634260765161, 62.18934054247249, 76.55477354067413]"
"[0.5969204510069479, 0.9042611308652078, 0.6421646282286044, 0.5891693333318351, 0.3569706321351735, 0.6044482164032999, 0.6121515392557977, 0.07402969168991412, 0.23307742458263164, 0.09646952928740155, 0.09312058708024884, 0.07726935607159845]","[163.7685997649225, 174.16246219893, 171.38797800762643, 175.95692653702108, 141.19680371147385, 165.8925946236969, 144.11515740168244, 157.96060057943927, 106.32342015074235, 135.67465705611792, 66.71513672456592, 63.69613032641279, 62.27795204319027]"
