Distances,Angles
"[0.5299732464440671, 0.8343943931871965, 0.8902317132972931, 0.3447084303331893, 0.2572608067043214, 0.3540774655880054, 0.07346363788807682, 0.565934024888618, 0.10834214696811628, 0.09173763676820662, 0.09875902367142408, 0.10888645726231727]","[140.7759380017759, 152.50018864029423, 170.88524410918276, 173.97479333647874, 176.54726130983425, 169.0213619156929, 47.335441234468334, 159.14313526831705, 67.8865320050152, 159.92532882226962, 71.6898941753412, 57.66827387025163, 53.487139961423296]"
"[0.5216313955967934, 0.8505407533827306, 0.885868604730378, 0.32815481201108443, 0.2503607127835055, 0.36244742080341585, 0.045109659362187984, 0.5751002262632353, 0.10083580905057267, 0.09253038017044268, 0.10149855927063522, 0.11243018967944936]","[139.2821245140365, 159.32251705798427, 171.59333729551142, 174.35463212306888, 177.06452180596142, 169.7885408246702, 43.37094547620514, 160.229427934033, 56.958953236192606, 161.88746620211342, 70.02765947028905, 55.98332510774568, 52.22305977970767]"
"[0.5233319558174829, 0.8570909754697837, 0.8858518717047241, 0.33258397922685623, 0.25218679237784164, 0.3662986808744214, 0.03687542067685619, 0.57213499069514, 0.10587398297981926, 0.0937461562212685, 0.10149316934863009, 0.11215040955845522]","[139.19484837164862, 156.57609120925287, 171.8868016270381, 174.19135935998239, 177.0731748439899, 169.92045780267372, 43.28773474408975, 160.7269981016424, 60.567237179651, 161.772953234759, 70.05007246239926, 56.74267960381821, 53.319645421465914]"
"[0.518039595680489, 0.8587739843377737, 0.9063418952702869, 0.3368708065197552, 0.2523267315652285, 0.37852618791223125, 0.055392478797554066, 0.5897878564089568, 0.1018812326693669, 0.09637577954044282, 0.10391441357872355, 0.11464171112771705]","[137.28585941534135, 151.82962810799864, 171.27420540458482, 173.38045757369187, 176.81482273870643, 170.0021674728823, 44.79756860374294, 160.1368603746217, 58.459696570726095, 162.68519760625747, 70.06809741625206, 56.68358568312471, 53.6943463420075]"
"[0.5165218386523589, 0.8452990266665238, 0.9108816711155887, 0.33982622748300567, 0.25845637276643135, 0.37114087570530574, 0.08261560812175922, 0.5939366825761021, 0.10754546466207585, 0.09443764775433214, 0.10240018507569341, 0.11293014948482899]","[140.88692298141598, 150.923866620009, 171.58131657284295, 173.4657779119175, 177.1872431766906, 169.49664678580186, 45.230546625167726, 160.60481037432547, 68.48768048133263, 161.61711970138177, 71.97458685361677, 57.528222522418446, 53.61601651240375]"
"[0.5138535360626035, 0.8049306865725828, 0.8259709848839301, 0.32188809830616794, 0.24794193701959172, 0.3349546532390951, 0.04688840231318798, 0.5360471331993215, 0.1004040030253784, 0.09094371298706093, 0.0998319774143953, 0.11368419724240622]","[130.59564282974665, 166.06764487737507, 174.26690331571766, 176.75271266987065, 176.7540541777048, 170.17159652807342, 45.1860364752746, 158.7059238392832, 57.993606972188424, 161.53801840564577, 67.52030246874321, 57.35727777277543, 55.6053105448533]"
"[0.5144819302852949, 0.8143823627284871, 0.8370758198799094, 0.3295711293680883, 0.2506368951644087, 0.3395369926157308, 0.04780255794416713, 0.5373974309560672, 0.10406311604348976, 0.09173317462546271, 0.09911503545801549, 0.10922792145834767]","[132.6491955667921, 163.48286397253383, 174.54964039384066, 177.0361939179445, 174.63790462689468, 170.8920997945457, 44.60042624545457, 159.01517256438916, 59.56842661649549, 161.83510785084098, 69.2776107184582, 58.275220717242654, 54.378114889890796]"
"[0.5165636243245608, 0.8149700231491562, 0.8334020371103703, 0.32977582470443695, 0.25186157616580995, 0.337555832186287, 0.042009218170456636, 0.5320423100291416, 0.10442224842600834, 0.0917825913086011, 0.10043814972256247, 0.11055162967090157]","[132.48252871615185, 164.39509484360127, 175.246571576574, 177.0503783648898, 173.99479042254515, 170.29464433179422, 45.167023279475835, 158.79677849855057, 61.712342404084566, 161.0759755176961, 68.89442975518278, 58.32388200970385, 55.377601014413415]"
"[0.5133593365051484, 0.7830685987215311, 0.7998793030071306, 0.3483350956908954, 0.33313320464890167, 0.297864550467554, 0.08871812272771724, 0.4663647030313404, 0.05804447898505826, 0.0866915920413861, 0.08972827124600538, 0.09860419241901786]","[131.91900598338205, 163.87677740509494, 168.45253509337147, 177.77744089565437, 172.57884196958597, 170.90999926925485, 40.41129389743672, 160.69080550730274, 37.49031875650404, 166.45033674130468, 75.0101869856573, 63.837893257428306, 63.54390392872887]"
"[0.5256313522335948, 0.7675533362878376, 0.7924425995530191, 0.3481388993567818, 0.33315380425598623, 0.28192114246037275, 0.0634808988776544, 0.46201443073661685, 0.06516581948216488, 0.0868398948744382, 0.08666673776232309, 0.09444398361744381]","[134.48430076994106, 170.98214126585208, 169.38697197460183, 177.65093424160736, 173.36759567966996, 172.5256313816051, 44.64240501604059, 157.8674102504083, 34.986399540034014, 165.87466487751482, 74.95920950072512, 64.81266502386407, 65.8041738734748]"
