Distances,Angles
"[0.46265558372926435, 0.8797790351736555, 0.9109173697245132, 0.433617943450344, 0.32370654677438515, 0.4700628244045436, 0.08137001793808797, 0.49779210960867415, 0.14501684647669008, 0.11507773803228065, 0.1010359099132425, 0.10733325505774872]","[123.82266713602235, 146.1878741894652, 177.70572962755168, 175.64198461788985, 175.86448909255398, 174.44241239849273, 40.452177495482566, 163.80377915978522, 62.8424768768371, 163.99243610704923, 78.86917827650117, 64.55561974178045, 52.083259505370165]"
"[0.4274606578682663, 0.8405928159869763, 0.8764310696935191, 0.37985512057063064, 0.288316676510313, 0.4721501929422528, 0.0892348725364918, 0.5250172806422565, 0.1151364485567594, 0.10456707864052713, 0.09685929468061658, 0.10916148333399131]","[123.99465032661234, 149.66633222730027, 176.45632991558912, 174.86810645336865, 177.26497435267493, 171.5928920876684, 38.809582643277594, 161.07272515976916, 58.86444418969953, 160.82177388951112, 80.85201745177768, 64.26590438386113, 52.331075738747316]"
"[0.45608676956841343, 0.9138080557895959, 0.9437735495601434, 0.38836035511828154, 0.3283321038206483, 0.5001003403769207, 0.08019335664633336, 0.5702890459880299, 0.08117015757318019, 0.11609133845530667, 0.10181766991481188, 0.11351819159728019]","[120.96904139773771, 146.5221482962477, 176.93561701805814, 174.96248556176826, 177.28404818086008, 172.59839941672647, 30.706780451891277, 164.68412531485984, 43.01405822237275, 164.04774900153612, 77.50373486374598, 62.88130667093209, 48.831522617283134]"
"[0.4661063501816805, 0.9129094851837626, 0.9460534604381691, 0.3873834515267308, 0.3370245084581169, 0.4962490712091774, 0.08235990270493189, 0.5761959849464474, 0.08697713823470678, 0.12095355948842448, 0.10559092858977621, 0.1175612042998994]","[122.19581440088334, 147.7360656215115, 177.98586864321692, 175.1306073731979, 176.05421857502836, 172.42278813683262, 33.02792913244284, 165.2674190520436, 51.50816681166522, 163.2205296563623, 77.38604377269937, 63.379020389665754, 51.14325755037083]"
"[0.4428303931919987, 0.888432172474881, 0.9233818093235123, 0.38130255803203356, 0.31264184117020466, 0.4960930466017293, 0.08476799782889016, 0.5605739244820481, 0.10006663152586626, 0.11553567468800736, 0.10021729845174515, 0.11065190100523313]","[121.74722296379994, 148.01698872905075, 178.26462279313958, 175.03508647970125, 176.56864871926928, 172.37317134079458, 31.47330628054565, 165.08329566386, 48.19367157419587, 164.06208499411744, 78.41609999021566, 63.88734809723286, 51.23083650056676]"
"[0.5252542822329519, 0.8415781210500433, 0.45122928493817077, 0.3473026829915418, 0.3241661849212272, 0.37136975646698617, 0.43788380186114373, 0.17217060241755697, 0.10302742520276587, 0.1328832925199407, 0.12213068324539128, 0.11879784149673565]","[155.22462314865928, 156.0624522493409, 175.3047284703611, 171.380171259925, 73.76251788608113, 152.56523039815153, 57.02268582508352, 149.82232084008805, 58.464936628570086, 152.08730897117377, 64.01671315084423, 71.9640990418302, 78.60226640253605]"
"[0.49633775793498464, 0.8649495871632972, 0.9000847232485729, 0.3390983170067261, 0.2864062895385915, 0.43630810743163134, 0.07265472882768695, 0.5864771417832838, 0.08515500971822357, 0.10778063753554544, 0.09971421740148656, 0.10603520372236805]","[125.63294084639631, 161.3762329426463, 177.4963921193775, 173.6141334421629, 177.83894000202645, 169.30769632177825, 47.98398272475111, 159.2343900477659, 50.36566377783237, 164.10333187766068, 77.62548750396877, 61.939242752204635, 53.20560469967039]"
"[0.48084716517795983, 0.8104749823031376, 0.8390792724257128, 0.3172312680622652, 0.2684105750541793, 0.37928898856306065, 0.07442482190846605, 0.5363542601719508, 0.08497523182987082, 0.09570439900651817, 0.09573117962705735, 0.10890467318556142]","[130.3938325413579, 149.94325550915335, 174.80147623115258, 177.17186517730036, 175.6578574185361, 172.97731207840965, 40.828553682336455, 160.12324252994205, 49.696025789168196, 161.96837457686084, 72.10706504150421, 59.52424087633409, 57.917897509638486]"
"[0.48376853213054444, 0.808683178697635, 0.8413656026993668, 0.3195651556856448, 0.27271151407295946, 0.37392564120120697, 0.0752925308234074, 0.5355244656631306, 0.08811807416777732, 0.0983376893623917, 0.09707572247512902, 0.10738597915299396]","[127.82611883348324, 152.7844609900012, 173.48858296397313, 176.03250825180874, 175.63291097691123, 172.8782777614722, 41.56604512162827, 160.265293040087, 48.202490269766884, 162.53129053426926, 72.63326871757526, 60.454352245478454, 59.18699054333305]"
"[0.4918306797986204, 0.8055365726888513, 0.8353407716729286, 0.3219705714414254, 0.275510569595562, 0.36763230740094943, 0.08232560524616937, 0.5273343505681316, 0.08709765122280984, 0.09717591944378502, 0.09497075162814742, 0.10551863240817615]","[129.61912320907123, 153.1973649514663, 174.28489776738962, 176.35244178456438, 177.08432066485182, 174.14065445376477, 40.17345456762052, 160.0419397054727, 46.16967293177165, 162.69499428043864, 71.8661008036463, 61.59760617668596, 62.52613058009019]"
