Distances,Angles
"[0.44193271951385676, 0.8982749401012982, 0.9391706833204355, 0.4932804928965701, 0.3973935637041006, 0.5337442764523938, 0.2108438307486781, 0.48784684013320306, 0.14151325132614206, 0.12730508932447088, 0.11154602497636151, 0.11628936375490856]","[121.36557296064441, 153.6853302759571, 175.6503266007901, 173.16065890564875, 175.8252221960986, 176.2294310860001, 56.04870258972642, 154.4459661283415, 71.42719001868434, 152.14807301816407, 81.29005792853727, 66.23746616830671, 60.82649585535796]"
"[0.4433348318119149, 0.9145575904332599, 0.9470480674881929, 0.48905659225770143, 0.4156139567910104, 0.5460418364373635, 0.20857634565348596, 0.5061241525973236, 0.1292651693864286, 0.1274721547915754, 0.11170911642577497, 0.11876446536316787]","[121.51835977290251, 151.40364094300773, 176.392803049503, 173.7341305198324, 175.73470101198546, 177.34545597934658, 55.73070552900996, 157.06035343576283, 81.2430265211975, 148.54116790993098, 81.02617203788344, 63.684059530669735, 57.518740735060945]"
"[0.4602014842935612, 0.9287951622413145, 0.9502882414921108, 0.4995502597827854, 0.4072711904514313, 0.5559046217037866, 0.18240008635509497, 0.5005968343508005, 0.13705210543504015, 0.13115190831233844, 0.11274706841632584, 0.11573435683342946]","[119.89668806886286, 158.940183349737, 177.74003197326084, 175.37408118742414, 176.9833194678494, 178.2652704037362, 59.92708498621816, 154.5269545984106, 79.91058729623788, 151.18307231848027, 79.33511251284885, 64.834769776943, 59.47920108967618]"
"[0.4550911437656474, 0.9077175599067113, 0.9535298157035847, 0.48945223224983625, 0.41788024158945913, 0.5328575958737236, 0.19120032719084684, 0.509977565178062, 0.1246955330009698, 0.12902110075686973, 0.1119431383432379, 0.11780799828848403]","[123.30229758082719, 152.58097350539848, 176.31890737408557, 173.58623901026365, 175.24006242118892, 175.95145280365293, 55.41885850188725, 157.15723836685376, 79.83455014626449, 150.4237269792478, 80.71830523851892, 64.85782583478074, 59.20920116497836]"
"[0.43964141184735955, 0.9109069827744554, 0.9436655942966363, 0.4882141569410258, 0.4101991160422252, 0.5418499981635625, 0.20118043180070283, 0.4918960894224822, 0.127076501593939, 0.12765674782520414, 0.10981297858633073, 0.11682673097550249]","[120.09688555477686, 153.86473585126407, 176.76205069611046, 173.60444984948376, 176.5744426125551, 176.01414507180192, 49.065907370693786, 157.8353183886088, 73.8873718457663, 149.3834577264848, 81.26748119634323, 65.17945198588522, 57.947490304384054]"
"[0.48571604237452176, 0.8221406975031196, 0.8767141789856034, 0.32495161040349424, 0.24122547688046056, 0.3737079141076419, 0.16444117078069986, 0.5831246903742722, 0.12457772833304771, 0.09797819851272241, 0.09967752347540058, 0.10651902709536454]","[134.4795440127603, 150.4065421966222, 177.07016859979902, 174.44023376813195, 174.79151102426238, 170.78561168841622, 52.27393422126182, 154.36390651685332, 74.1006493745263, 152.7070271990456, 72.50949593412841, 61.805825326580056, 60.51053313292624]"
"[0.49451349427657026, 0.8305226906105116, 0.8692882938085169, 0.34578392692492865, 0.24834360227446786, 0.3893908989604056, 0.16746185534013355, 0.5582313265888089, 0.1430986810832837, 0.10380694150270443, 0.10125703662217485, 0.10475849080803447]","[132.69999172068975, 149.27781364939, 175.6417425278968, 176.73620155062093, 175.29067057284956, 173.1427745390571, 51.32889629318566, 155.1042640445867, 71.91502404034007, 157.00896328759902, 70.33463099838137, 61.334333284536946, 60.9215456890916]"
"[0.48880815412755835, 0.837871920705582, 0.8654144619237325, 0.34458427149401705, 0.2467007961665885, 0.4186526921152469, 0.17593187472633046, 0.5473061889010509, 0.14882300436552282, 0.10322188558211444, 0.10172672839547343, 0.10916055679066139]","[130.54449775229503, 155.41270287527124, 176.09668534134002, 178.31867069312716, 177.70538456373575, 173.39941309543386, 43.62567378855939, 157.70579879067347, 65.12258558792512, 160.11335119745158, 70.3679851425024, 58.40906525035199, 56.666350501841606]"
"[0.40302704263003125, 0.8320007234994217, 0.8087805932179417, 0.401533082463496, 0.36891004529412486, 0.56120395537005, 0.21993623768173615, 0.4528325704761569, 0.06236841329725833, 0.11518170650507788, 0.09736649730178377, 0.0973179728247186]","[118.17965050043436, 165.12189159225377, 177.48533822818163, 176.54051019922508, 176.30724478525138, 172.96232070839557, 53.59701738493178, 156.61145122582732, 65.79246470653393, 151.77662776208982, 77.93347691489129, 66.24956031092267, 59.74189119450679]"
"[0.3555302838406772, 0.825561025748256, 0.8602933032631012, 0.348518743069512, 0.2340811729786597, 0.5042566266656797, 0.18610297242452883, 0.5295086151777032, 0.13984976832339663, 0.11261942524924803, 0.09452317461817367, 0.10873174100449871]","[119.00352015457396, 143.966199646288, 174.94992020354425, 175.76675616103347, 174.09117325032517, 173.21622572623986, 41.213608465492605, 159.7127347050185, 47.83732491399583, 163.48759300088736, 73.67298588791736, 61.51183998814528, 46.2792281084939]"
"[0.5073817311185119, 0.87042652164822, 0.8851399265323217, 0.32861023049243515, 0.3404134881306341, 0.423224877808667, 0.1846662302559801, 0.5774214143535435, 0.07903252747802292, 0.10638597237053514, 0.10670786572250542, 0.11338709673616945]","[140.73914930922265, 141.0131215909409, 174.24474843548577, 178.21138723311253, 176.75400825737532, 173.92836031209032, 54.20179061567204, 154.88996694158942, 55.868483242246036, 154.96605620434732, 75.00266039056459, 65.25304391838361, 70.63467174709444]"
"[0.5141962310124982, 0.8817634426535242, 0.8922748706476891, 0.32844250070525155, 0.3381367394141103, 0.4296942855528056, 0.18415395988580174, 0.584131085635115, 0.07446569225225373, 0.10670655982909798, 0.1064380083642291, 0.11329753769498861]","[140.82337623606568, 141.9277508101625, 174.93456013471499, 178.33510560323643, 177.49878583750373, 173.76862116487175, 53.09109352370934, 155.46374234543606, 55.75446159968047, 156.0618091729332, 75.36620513003021, 65.07765219535543, 69.88728848620195]"
"[0.4978342635169138, 0.8677944049638309, 0.8797468143903565, 0.3339867079341203, 0.34530999536845036, 0.43220252378319834, 0.19140505920342477, 0.5750603433083732, 0.09323745344814972, 0.10598160299202328, 0.10663108990226046, 0.11035233468404995]","[142.303596829232, 142.28660189702555, 173.81539612836517, 178.22364530044635, 176.96024022062232, 174.63726579068245, 62.334956887390206, 153.3722991084618, 64.9758464047475, 155.25930641307443, 72.22502766774821, 62.914901564482854, 71.4004151474067]"
"[0.48852749639490073, 0.8645651374726064, 0.8961650453423952, 0.3405569351982415, 0.3420527669787495, 0.41486810046853845, 0.18493895364688445, 0.5694425233111219, 0.06883359232950706, 0.10672454031346462, 0.10019060388034842, 0.10802472494156022]","[139.2115644059273, 133.5221421630082, 177.03223603517372, 177.11808131604943, 178.80145907160477, 174.66895961986887, 50.801481095138236, 156.0512513192294, 57.36460446114088, 155.16434518998526, 79.43349807626392, 68.58873296963017, 70.11133236896974]"
