Distances,Angles
"[0.5006651723990062, 0.8893098578024611, 0.8945647722029935, 0.8582621689560487, 0.37700599306319255, 0.5301494672994227, 0.12741548338809702, 0.23265061725165756, 0.49236354646716535, 0.10321121124456487, 0.09345174061691683, 0.09655666441116448]","[130.70589557193023, 159.65799278518338, 174.49102150471836, 175.60933480123575, 174.38481399230932, 176.05922974441754, 173.55330624102984, 171.3558700480508, 57.404569094294104, 165.45831622253212, 80.99559719238006, 66.86660690993742, 55.73333549970607]"
"[0.4851270567209922, 0.8995619002706362, 0.8915937100636787, 0.8462550325308531, 0.3644910060450194, 0.5714361437906949, 0.18902491601779928, 0.22547118740452604, 0.49225326127640834, 0.11210773613432677, 0.09478134347173117, 0.09876562845684535]","[126.42519577357393, 161.97211904903978, 174.7865415432075, 177.09629033007636, 173.2578161183444, 174.57259576714347, 173.5142085786674, 170.17230116110048, 57.296214473562, 166.27152398190586, 78.18200422516186, 67.18290327786085, 53.38691670153705]"
"[0.46703075349071027, 0.880582942750722, 0.8772171650403052, 0.8246213679110346, 0.34145983486074527, 0.5487326758452103, 0.14576804059597828, 0.22931827076098152, 0.4973827890409691, 0.10557115665103083, 0.09141463315244598, 0.09906751985138655]","[127.03715414256867, 165.2229825865288, 176.7180564076053, 176.65882480930162, 174.94992725611272, 174.343998376436, 174.88283795570814, 170.3946890217541, 55.913311259486946, 167.39721735417726, 76.77427704140294, 65.08443899129266, 53.989762409239866]"
"[0.15499206418209954, 0.1600635979659423, 0.1579039537793682, 0.14377806608194618, 0.13447114529127585, 0.10763865245202682, 0.02986353277239523, 0.027819665955038646, 0.031018812144021315, 0.031046164135258073, 0.02518818553849409, 0.017997409811603086]","[171.123789412545, 166.68505495843095, 176.40162143508186, 172.57409359294823, 173.23520836026987, 168.78944096590396, 157.86701103961366, 170.05143476207468, 150.83307386012677, 178.92952762091187, 72.7542383762262, 97.25810347686482, 121.34515935468696]"
"[0.48793781044237816, 0.8515770021852584, 0.8316423005292661, 0.7717791323969793, 0.3136427084382354, 0.5240979577679937, 0.15126391178945484, 0.23872746638572834, 0.4703850781005537, 0.10466903928123422, 0.0982393679919805, 0.09630444032315748]","[133.76190092597662, 168.20000546667865, 174.23331268723538, 177.30502202133863, 170.14411798170556, 170.4412771682087, 170.69462360977656, 164.02495782197627, 67.63771844956959, 161.9099360307725, 70.31586846889151, 60.626616498140244, 47.55016764065432]"
"[0.46867482381566994, 0.8342369520246067, 0.8159944311553052, 0.7679264089006613, 0.3097305418498739, 0.5227468725600857, 0.13807873071569543, 0.25147246346472163, 0.46257504057590093, 0.09958991356021964, 0.09414216834326923, 0.09449175001901607]","[128.41526277569602, 162.1943256834571, 172.30888185043455, 178.3116585279717, 172.0705769684696, 172.36150946225834, 169.06655678220827, 165.58611354805203, 47.298798213711144, 168.30464008409507, 70.31493976061866, 61.41633130800677, 49.05820416803837]"
"[0.46412206064767436, 0.8483458688958042, 0.8415517246486526, 0.8023938911529944, 0.3406230183148978, 0.4797662191165949, 0.16229761518016778, 0.16837582378649762, 0.47385157556077134, 0.100128068438763, 0.09167476048126208, 0.09820451391729543]","[133.08212356931728, 151.65374797215526, 175.2460488691101, 177.81818269921942, 174.82993342881795, 175.3339720531231, 169.09898067247016, 171.8623387379227, 55.56586724040644, 164.5036964855671, 76.98884554605226, 64.53706851259592, 55.81080039969413]"
"[0.46615545002049386, 0.8491578398378072, 0.8582136814486131, 0.8207162074008687, 0.3598735455647335, 0.4464489154946521, 0.1549735014999993, 0.16568234931435055, 0.46407714412202467, 0.09439641238697082, 0.0861008396335838, 0.09654495001816754]","[132.43891458050737, 151.56432797662126, 175.59147259986239, 178.81879224045466, 173.32104442339016, 177.84923794755238, 168.59353855345003, 174.81451706896732, 60.55804907345445, 154.74257698130086, 77.20953338340959, 63.359825384843425, 53.06571203053691]"
"[0.4884471545676043, 0.8473115059180562, 0.8428772808320021, 0.8283840179265678, 0.43397278985596377, 0.46801808892509367, 0.18558097976570456, 0.23121823942834407, 0.39832131158362466, 0.11383337663227769, 0.10430046824974061, 0.10632775559960778]","[132.26297132199772, 155.70621387500503, 176.7275188215091, 178.97712884126955, 173.9886769344192, 178.36121071870957, 163.8414387251901, 170.86116278479005, 60.151073190968724, 145.15306976613073, 77.0134977229356, 71.29573234009169, 62.49983848579781]"
"[0.4808359769796167, 0.8373298434143471, 0.8354823509205835, 0.8274540453800306, 0.4144194638603771, 0.459786374046285, 0.1916881083270126, 0.22182551061640038, 0.41995869372144495, 0.112908433379417, 0.10262138650573518, 0.10424417088360105]","[134.98771929919758, 155.20650135771447, 175.8718721042371, 178.54977138457917, 173.10402374280693, 176.08028686482209, 162.4288029200825, 172.3217297181367, 61.23967528434687, 148.85744370767725, 75.50169832016118, 70.47392111495061, 62.18486603854112]"
