Distances,Angles
"[0.5427630043172077, 0.8331418036308418, 0.3990822810933385, 0.2856208568139063, 0.26363591374756223, 0.3526548192554674, 0.49914851576167224, 0.12475801688843864, 0.07431665102729017, 0.16153705618747863, 0.12540122298911344, 0.11697664912235058]","[134.50031653130915, 174.86146417110453, 131.22093476266534, 147.19999689737477, 62.01338757535936, 139.74447360956114, 69.20169187271448, 130.20280959107623, 79.53004881914674, 127.34625518740602, 63.58106147542538, 62.05576258110672, 62.89006033111349]"
"[0.5608298477479359, 0.8155593626530113, 0.3659837174960923, 0.2875384269327877, 0.275418163596466, 0.3201195809205419, 0.4946895031063148, 0.1055445182863552, 0.08226829939823967, 0.16082216208424646, 0.1269197280508874, 0.11589449204808186]","[137.53343615305232, 172.41558900114407, 125.94879755022866, 148.12968070050653, 56.36291255772713, 130.3618090272548, 64.49020405641151, 115.38926305222746, 74.23033111772311, 120.48438851539731, 63.472652398078964, 66.14230341339713, 71.18557182393144]"
"[0.5460413385459406, 0.7480864719766199, 0.37004437320159217, 0.29426973683713675, 0.27643925543656805, 0.2579559051270933, 0.4404329601728414, 0.10284922051116886, 0.07873423674257991, 0.14852608114951246, 0.11994900219683843, 0.10366209411000776]","[137.34907721756582, 163.288175328364, 102.26111027418962, 126.32521103961355, 66.44909844819922, 134.78721241970212, 65.95916231126898, 126.41295322911891, 75.54805628007433, 128.43502521934585, 64.02260612373371, 65.44785766357913, 70.16271221514793]"
"[0.5334396532438463, 0.8268805595638468, 0.37004588685252765, 0.27641911521703366, 0.26157720116039135, 0.3538115863307619, 0.5394385455639308, 0.09937615955372826, 0.06575458993424269, 0.15910887703480966, 0.12468046885090725, 0.11157316351050686]","[134.40582266904514, 178.4784260406097, 124.9681149694414, 145.12877081120163, 67.73058491152852, 138.8929308243355, 71.25845906660182, 127.5321589040659, 86.46219360868778, 124.86818880456067, 65.1967945500086, 64.45224774492034, 65.93057355182651]"
"[0.4811369532378667, 0.5320781903400438, 0.3631789768198857, 0.24590289049688813, 0.22891008620460215, 0.07024007855810185, 0.19488813440943994, 0.1369962521376158, 0.05927302658321243, 0.12089559913633124, 0.09692743244758349, 0.08102096608638193]","[128.20153306956956, 155.63637982067965, 65.98537117784204, 158.41570717700915, 66.70316963992873, 140.88852258131675, 71.46822803861215, 132.37753273288175, 82.62972507624717, 135.40788408982422, 63.71744423467738, 63.63847623066149, 67.21868379251801]"
"[0.49499679069948416, 0.7297255206089844, 0.31827499561937145, 0.2735484677928194, 0.2742723347222387, 0.24698027516969276, 0.42142457691919843, 0.07447234376712786, 0.08477922282454707, 0.13620169657702205, 0.11714514181250549, 0.11604980666197573]","[121.85182424944615, 155.86727537795176, 136.18835135369483, 129.78042961565023, 55.00906715908692, 143.8921516595744, 53.26647094805307, 138.89797425172418, 54.69096330907451, 142.89308622502585, 59.949429986324645, 61.9298109397472, 67.08876762237959]"
"[0.49357811490946646, 0.7401214861453271, 0.3281367312649088, 0.2862613266088676, 0.27024669491954995, 0.2545780381840688, 0.42544647654964896, 0.07645680417039676, 0.0854340904970796, 0.13980008899433288, 0.11934228206228194, 0.11550272141578409]","[120.232835134748, 162.88816748976475, 129.98581888427998, 132.5987839135964, 59.55189940420961, 138.7168132463444, 55.63236853420333, 134.04616799991328, 56.72289748500105, 141.0547298017494, 58.16550501517251, 62.76673666031236, 64.76464079656552]"
"[0.509591121355305, 0.7480854333171777, 0.36264814172982196, 0.3166253475179192, 0.2941946593117967, 0.2560868526217206, 0.4183921923968655, 0.0707259989889703, 0.09312005700880346, 0.13667436414383766, 0.12089046899159876, 0.10973298136494133]","[119.30727094244199, 165.76915188796576, 124.71288503196894, 154.06082423347098, 67.53112445716711, 145.1132732591429, 59.75329919410784, 139.13443314953386, 59.260851855682056, 147.9898491265736, 59.64395891261555, 63.913747521947194, 63.91039000392658]"
"[0.49549089303140437, 0.7311436879601704, 0.3198519497953725, 0.2650521551781753, 0.26523138248208206, 0.24110614277355233, 0.41376190190407786, 0.10214336765006103, 0.09910465804286475, 0.14021869096884754, 0.12188412666654065, 0.1343060430799378]","[122.28335949347344, 152.28289482984817, 141.19868291916234, 94.71557268767474, 34.01851975976866, 150.07713001583468, 37.986063860457705, 146.92487473389951, 33.76256426102062, 149.77632138157622, 55.76873867401276, 59.290603840110585, 62.6746091905733]"
"[0.4897829400092383, 0.7229807785981313, 0.3020837530991475, 0.24991473972531605, 0.2534368951503496, 0.23912472059451548, 0.4211341994266428, 0.1039726941733917, 0.10431109155506801, 0.14319454130692724, 0.12333134347762113, 0.13233100719414112]","[123.33388249269463, 152.4749845349976, 137.02981288785054, 107.5936241365498, 39.50809629292805, 147.8654933733495, 39.671567126206256, 147.52834250370705, 41.775709198136006, 148.9537639303682, 53.943254343657195, 60.14326270871465, 66.92350973861582]"
"[0.5732844688890348, 0.7777347443795571, 0.4069315361899429, 0.33131072539678774, 0.3118793296469575, 0.23331667542725654, 0.4142729871645404, 0.10655462037966987, 0.06085772655515996, 0.12732741141311316, 0.1161340596292235, 0.10087131253753905]","[149.15306287624387, 171.87931641227746, 134.78386736952734, 134.57984954653386, 88.49414190709915, 140.3341688723596, 81.15518223105447, 135.67940899861665, 83.72970938352334, 133.9588402626673, 56.732991036490176, 58.75629073414966, 60.166988200607506]"
"[0.5633304716624384, 0.7761513792163166, 0.37856380296418474, 0.3377856561282544, 0.33188128126548355, 0.2140570512045301, 0.4008748868867018, 0.0893038330695759, 0.08617994615679002, 0.13887027439528857, 0.12422181021392302, 0.12331021994479172]","[138.32110951698974, 161.69554055059737, 153.08641934513633, 100.76585351495916, 49.805285765537526, 146.00578947304226, 43.21659715831317, 143.27133299331652, 36.334046523028896, 145.2903137681422, 58.84155532433435, 61.545902031371575, 62.55635624612121]"
"[0.6056208802126346, 0.8153367273474209, 0.41060916340724896, 0.35732633757404136, 0.3398764976914839, 0.23626998367631796, 0.42152746430263316, 0.10938539602007062, 0.08690290809263096, 0.14679931529407983, 0.12778204373258337, 0.11568862395788557]","[140.276701141152, 165.83178310985616, 149.5370774013693, 125.3509401340161, 71.69169307418834, 139.3481134611422, 64.53243883212546, 130.12518256630833, 70.64169800099894, 132.271154245156, 58.80772329476816, 65.17892225872376, 70.80024319375967]"
"[0.5743091912231134, 0.7784462646324523, 0.3615931580074161, 0.31541502345664346, 0.3076387688437291, 0.20463015506896495, 0.41775634798033656, 0.09516432758691516, 0.09598336290047013, 0.14241361270534733, 0.12575370363515004, 0.11948424233061172]","[136.45700192695188, 168.59057364744336, 144.94176422178438, 117.18692167189086, 55.8357821132, 133.956531298276, 51.2805049685863, 128.7437645656604, 52.764972754612565, 137.08928759996562, 53.56729828865982, 63.39365061438091, 66.36785554704801]"
"[0.5202744698673099, 0.7625536347645493, 0.3530894888160762, 0.29791704978421146, 0.27969609697770603, 0.2457703528330627, 0.4319356515354204, 0.08617909289411317, 0.09265153842665941, 0.13361809782804246, 0.12622002431771165, 0.11441513895963056]","[140.15037963019387, 167.75946946001082, 144.1165705637843, 160.23168789441678, 70.94840393747525, 145.5690562384678, 70.39927834328576, 138.1946158474326, 67.46930709954437, 141.25730023764262, 54.769618795217795, 59.201108796864055, 60.49459523048835]"
"[0.534239671912082, 0.7682260350808836, 0.3404541707461376, 0.2965393994861301, 0.27936284090846564, 0.2414370091639593, 0.4346646274420375, 0.08695825349100457, 0.09136322286494765, 0.13389894289973805, 0.1263946055256011, 0.12057443792110745]","[133.95068238790932, 165.78703632740294, 148.43323271094928, 152.36536446846011, 61.220944230302436, 144.84449673538072, 56.35777140955102, 136.0093728090133, 57.49177354922322, 138.37639686996903, 54.931327997555506, 60.39974002161782, 63.1614268546682]"
"[0.5261525354896778, 0.775254353287106, 0.41670138948370145, 0.34228941543550895, 0.29896378524919176, 0.2654313707154741, 0.4336282550808106, 0.10181022361014752, 0.0766278938457455, 0.13073900672785044, 0.12111249834404654, 0.10239526141052281]","[143.70109168945064, 174.43202157550184, 148.7028594882549, 158.8709483992432, 91.77559528507682, 147.38243936172745, 89.09980400916048, 143.24145037693404, 95.05066932281322, 142.39611566155102, 50.318308422007156, 57.07241294330649, 59.68905862204053]"
"[0.5197165858865483, 0.7700548018697809, 0.3998178805982369, 0.3297092801862668, 0.28836025007744376, 0.2641093287054483, 0.4415700018309041, 0.10071989065473616, 0.08167572517204384, 0.13112468013263856, 0.11922643416396998, 0.0984560681153683]","[145.09318597048528, 174.9068988694082, 146.13995809014688, 160.9449548672394, 90.53450638896032, 147.1924354138445, 90.02965745357533, 144.38008775838725, 95.71640350839435, 144.01507833298538, 50.84129228695674, 58.53853165015615, 61.142657126674536]"
"[0.5380737584003508, 0.7651672421046157, 0.41725472386071666, 0.3481171268176902, 0.3063538085738102, 0.2594418403334192, 0.4265615229343359, 0.09012845957567528, 0.11491587800571629, 0.13146721401283692, 0.12305471433949138, 0.10553839947203315]","[141.93258220150116, 172.38333229656268, 148.85533607261434, 174.88220248194654, 92.68668154691765, 149.88718566545185, 95.96015387761345, 143.7452648343695, 99.63625133489013, 142.84746648866022, 57.27769803025471, 63.458013671478525, 68.38734671859997]"
