Distances,Angles
"[0.7903234136872138, 0.43332422967607304, 0.32777401145369767, 0.2578489347669231, 0.28409751031260877, 0.476776270946193, 0.1330123662950608, 0.11620010107000102, 0.06745566310391557, 0.14045266259049738, 0.12099324282091803, 0.10339170423980276]","[177.8635220638225, 171.6554623011241, 72.87831427694985, 161.3808350197181, 66.2426944306999, 154.86422798705152, 53.02482145815198, 156.3200084114138, 50.491285541287695, 155.7382243498679, 67.80149380993026, 70.04718223625783, 68.93241206732519]"
"[0.6367131200252368, 0.478435367040233, 0.40065725905298905, 0.3807332907101202, 0.4013763051874544, 0.32101193852438925, 0.15924293005553575, 0.09143888181255082, 0.08047406094923182, 0.1394850308032241, 0.11416717822754474, 0.09751137181675634]","[167.00935675109642, 169.8887833545001, 75.15592898622323, 165.5231445137785, 60.091178506661905, 164.60997475766624, 56.5196982658675, 161.478833261426, 66.26874717299236, 156.01452109901786, 76.30519352093667, 88.36881447985448, 93.27653010539186]"
"[0.7236564584679591, 0.4181604277625102, 0.3353202565142819, 0.27677496500429255, 0.676525906630651, 0.3818892717245759, 0.1108974264575514, 0.12732334885957805, 0.42730420893218224, 0.13707168900517336, 0.11811902477356323, 0.1060869123849707]","[170.98646490398954, 173.73867116725586, 49.05107124660497, 169.42000218156116, 52.753554379352074, 164.65906332474415, 37.69796139561411, 163.85200220847182, 160.0665679236488, 154.94990916147236, 71.03231358169192, 73.60053765113958, 80.12291074025362]"
"[0.8280810732735364, 0.3824678658976858, 0.31047361400007545, 0.2834400526752626, 0.8405727448718354, 0.5124345688669613, 0.10411008223697023, 0.0871341118911362, 0.5964105700956817, 0.1385156500606801, 0.1227111847383067, 0.10919841108240119]","[176.8271225161509, 158.43124997748777, 49.73196789712993, 165.7134644683104, 63.06948481848733, 163.55776550897667, 57.071030468026024, 162.058750362003, 169.17229112254998, 168.29677560881092, 66.75055033775594, 74.04888367334593, 80.36607202112391]"
"[0.8275853383135231, 0.4537230207357152, 0.36659828535998906, 0.29331990920594003, 0.8554884427095033, 0.42969705801255675, 0.12106829968189949, 0.1068743195962913, 0.5902969847020929, 0.13087218117886215, 0.13642469485373374, 0.13170254663579983]","[174.31072583067166, 162.83071923612283, 42.78304895423656, 161.97670100660218, 47.6116781941333, 160.3308946751246, 40.47471723603647, 161.58624427814487, 163.5699288989928, 171.30765687740367, 64.54519151144305, 70.54127978168867, 82.8488469264813]"
"[0.8341769833242584, 0.45235976907381586, 0.3551955924154085, 0.29848178624285854, 0.8549572866497442, 0.44570643277955735, 0.13107627694118718, 0.1022527812651399, 0.5871463763355597, 0.13699249094248245, 0.14031850941868293, 0.13141500968881573]","[174.10087796685136, 163.32549383527808, 55.52085474075386, 157.15370634831694, 59.142332539240485, 157.60827073755505, 48.986936611299846, 158.95293446450432, 165.4727812816362, 166.5710255114074, 63.409138667039834, 70.75155754872368, 82.53773240154673]"
"[0.8611618145416751, 0.450625624578522, 0.3591902645684081, 0.2907764792251614, 0.8312827031826071, 0.47378282422608975, 0.12452093075062337, 0.10853628597083413, 0.5634332357615318, 0.1382758325306182, 0.137859844172017, 0.12677726709278855]","[176.05697831899974, 161.51428112481577, 52.100176679873876, 155.89848050410345, 55.159961784115865, 155.73177572426385, 44.780901398229645, 158.13027058260272, 162.58477033282674, 165.71463262980876, 62.14449541487807, 67.44558808306333, 77.42203092625735]"
"[0.8396255700291982, 0.43734997838385337, 0.3520803324267911, 0.273536009898428, 0.8076256603710624, 0.47421895663810676, 0.1169594089154663, 0.1129583388240215, 0.5585876528356857, 0.13186939898301756, 0.13372372846043382, 0.125971286869287]","[174.76774948442772, 161.64813958623088, 50.71563400266358, 159.20615547356337, 52.41620993707228, 158.57544473080114, 42.12396463916501, 160.32887636720451, 164.6034697756304, 167.99503396378094, 61.91494485480035, 67.07198263303277, 77.37104349033169]"
"[0.8337136161351852, 0.44951383012396656, 0.3590077591362313, 0.2888688794960212, 0.8424794079664428, 0.45438073611538327, 0.12534544715895363, 0.11240276102908776, 0.5773179262069668, 0.13367906371891453, 0.13731244765141962, 0.1304656630640548]","[172.299122907933, 159.5166450192996, 50.808003311879354, 158.52104470274082, 54.00834520155284, 157.9419882349252, 43.711953827631454, 159.85932893139253, 165.339995469223, 167.8500238388921, 63.29766680191299, 70.12283774609222, 81.49368030030622]"
"[0.8454561194580654, 0.4814606687605937, 0.3815813221612623, 0.306801270017961, 0.8075430305354461, 0.41175156475376007, 0.12697151898221146, 0.12116610081014323, 0.5270269548958478, 0.142617210573093, 0.13800203413412582, 0.12675551137505334]","[179.24490426572498, 165.09942799953333, 42.04260692648549, 155.6601674909652, 44.04112325921608, 155.5768810488535, 35.88223657776738, 159.1631740326358, 160.4797034061392, 166.61704408874428, 62.828995630480456, 66.78049946723664, 76.23730862046213]"
