Distances,Angles
"[0.5587734531583445, 0.9396690432010577, 0.37316119867922193, 0.27974476732220077, 0.25870142986991407, 0.4038173061733739, 0.5824967731530122, 0.11834348880561417, 0.09393264232299026, 0.12605708224165801, 0.11654636178834572, 0.12108868836929317]","[139.7576132489121, 151.67771536266176, 161.8990417403084, 174.026758302387, 45.78094187202935, 152.5036814492551, 50.76558495620276, 144.50471332109836, 50.96862125589312, 151.86411863940634, 62.319623496494, 64.21099998383305, 68.09907042650443]"
"[0.5683458869400518, 0.9346143424337492, 0.3489229196152153, 0.261789373349166, 0.23907543662384292, 0.38736188402644295, 0.5974913646509806, 0.11179352471996937, 0.09613662836209214, 0.12401364783750012, 0.11050521849697133, 0.12189419353503811]","[141.67937847931753, 143.94102713005282, 166.8246946242242, 174.4346192266998, 43.19508441845183, 149.24581719366304, 46.58767353947481, 143.21370407706218, 53.90544420402674, 148.78162427016008, 62.23632007272079, 63.83408363848113, 68.80880444863355]"
"[0.5586136514712319, 0.9415056968493608, 0.3697884449376549, 0.2651711122460289, 0.23923946618258038, 0.4002984910448699, 0.587483788733633, 0.12437846323550543, 0.09891656679343291, 0.12479560276431924, 0.11286031413079661, 0.11964910127115665]","[138.02045549380668, 152.47789322925928, 169.02860404733417, 173.742616135528, 48.38340656940304, 150.35132046160854, 50.591246753213255, 141.48944981378034, 51.78877205841941, 146.6856655255786, 62.62922554368244, 62.28862912212786, 65.35107567500592]"
"[0.5663206760821821, 0.9498759926981103, 0.3612803512231346, 0.27234275288054094, 0.2443224907360404, 0.4037474335471094, 0.5998893689832188, 0.1143113655393872, 0.10002260033515474, 0.12481359461703903, 0.11120900921306484, 0.11946810720273528]","[138.28265045593199, 151.4411334749558, 168.3393856875404, 173.01139408114696, 47.645632360179874, 139.52360870623883, 51.4789700385584, 131.9923231954298, 53.53596755799399, 142.36456531789386, 63.29743910731315, 63.394348793811815, 67.21086690649372]"
"[0.4921510973541357, 0.8053712677148127, 0.318071930879566, 0.2200309500705453, 0.22786293272895364, 0.3146001102564747, 0.49853361462962126, 0.12057702255908968, 0.10294137319081027, 0.11952700973218833, 0.10121326636100463, 0.11069448986256307]","[132.14765653945273, 143.56464483135477, 172.04092938661032, 174.28269569193768, 34.7783364750364, 147.06109981187262, 39.49876322991954, 140.89075249965478, 42.42706246606206, 144.5615449243139, 53.282951092162186, 58.84382833423645, 69.3629834596037]"
"[0.5069804146138996, 0.8194411902746572, 0.32835369659713565, 0.23299791015979054, 0.231771505954234, 0.3178323964201767, 0.5037885154697334, 0.12035178342254302, 0.09510871102231332, 0.11654674625868869, 0.09941197546738861, 0.1099360848458316]","[132.45653128646535, 141.5709381148195, 169.51302592819306, 176.00713006945432, 34.79368743584753, 150.63294187968984, 39.06100613712589, 142.5070458785239, 37.91972466322483, 147.3861977060675, 54.51413795398995, 58.52974576082119, 66.64615987016855]"
"[0.5262284604835741, 0.8243531222871416, 0.347969777108538, 0.24455410102552314, 0.23545234944617344, 0.3112185319005425, 0.4900412806625825, 0.122796527865606, 0.09744973830907065, 0.11479572714352865, 0.10246933309130501, 0.10775078983005844]","[132.68082792268592, 152.1242448949233, 170.5528517292261, 175.20222572275821, 41.07031500352598, 153.30662625163376, 45.92741437964061, 140.88218852589122, 42.622412648817885, 147.0694226012822, 55.99061328054157, 57.502773954933744, 63.866689709333116]"
"[0.5161479985826247, 0.8029401512933413, 0.3057299823354872, 0.21262032764806654, 0.21282756892309357, 0.29434935436615844, 0.5113827957340157, 0.11727985188583728, 0.090118299922844, 0.11319535378981323, 0.09830185998346158, 0.11390111320634486]","[137.39859755390734, 136.4925777395552, 169.13572553416373, 172.08355317472459, 36.24308289431698, 147.18217004952498, 40.3680855745846, 140.1114714344393, 46.30942705460789, 144.12899081888546, 55.132187756276, 58.54838193316068, 69.57754323254156]"
"[0.5277935792551153, 0.82103744081441, 0.3486357975079653, 0.23860066254577647, 0.2323495625472778, 0.3021742172598878, 0.4836598825103476, 0.1277846932062317, 0.09576825528417719, 0.11637599003803074, 0.10471078710444963, 0.10981281831320688]","[137.02930486265416, 148.95916149999877, 169.86704259661394, 175.8957684377771, 36.8509760339216, 152.7564564748082, 44.83311421934651, 139.59346969448745, 41.39267743402481, 145.99265047612926, 54.76580310851028, 56.59413634640128, 63.55858229564465]"
"[0.6381670107931834, 0.95604890503829, 0.3951731225135756, 0.28332377716887486, 0.2621862971584078, 0.3391382780160374, 0.5697689624448831, 0.1336339825239127, 0.10387369623496845, 0.13020360318938462, 0.1180177618893759, 0.11972908559631634]","[141.18233057233638, 161.4061236141778, 164.67051120385995, 173.84977185175495, 39.984431449945774, 149.97514067990576, 53.2089217741412, 136.75264015988506, 41.380789574161, 145.83719755089305, 59.56503854313819, 59.58902424938563, 61.855040979552065]"
"[0.6477668305978177, 0.9539310455389128, 0.4190468399574388, 0.28764985377706764, 0.2617569648598485, 0.3291361791401444, 0.5469105523940093, 0.15010239344867202, 0.10179597342091194, 0.12809358646299196, 0.11648008248270818, 0.11961559772214429]","[137.8374479241118, 163.13328240053923, 163.18270472201215, 173.47460374362487, 38.63000417166781, 149.7869550155685, 47.99665727155583, 137.3538179627727, 37.1594367345355, 147.06954116858424, 58.96211370999361, 60.55484640608971, 61.82398148424556]"
