"(0.4318305253982544, 0.7745965719223022)","(0.4708532989025116, 0.7599801421165466)","(0.49374425411224365, 0.7387502193450928)","(0.5140236020088196, 0.7154194712638855)","(0.5313387513160706, 0.6800133585929871)","(0.44654321670532227, 0.6211187243461609)","(0.4998486638069153, 0.6360113024711609)","(0.4957098662853241, 0.6887629628181458)","(0.4795236885547638, 0.7067195773124695)","(0.43797364830970764, 0.6100252866744995)","(0.5063066482543945, 0.6407340168952942)","(0.49792200326919556, 0.6909627318382263)","(0.47776487469673157, 0.7004889249801636)","(0.43909570574760437, 0.6209556460380554)","(0.5051982998847961, 0.655495285987854)","(0.49635377526283264, 0.707047700881958)","(0.4766726493835449, 0.7127763628959656)","(0.4456491470336914, 0.6408429741859436)","(0.49923205375671387, 0.6785796880722046)","(0.4901500940322876, 0.7173526883125305)","(0.47143521904945374, 0.7220339775085449)"
"(0.4205699563026428, 0.8088359832763672)","(0.45455336570739746, 0.7927258610725403)","(0.4796941876411438, 0.7469112277030945)","(0.5064762830734253, 0.7131916880607605)","(0.5310467481613159, 0.6828729510307312)","(0.4463924765586853, 0.6380698680877686)","(0.5034078359603882, 0.6516295075416565)","(0.4968770146369934, 0.6967760920524597)","(0.47926032543182373, 0.7147665023803711)","(0.4380946457386017, 0.6224654912948608)","(0.5037588477134705, 0.6510696411132812)","(0.49422720074653625, 0.7023290395736694)","(0.4789869487285614, 0.7150555849075317)","(0.43793898820877075, 0.6279187202453613)","(0.5039070248603821, 0.6598685383796692)","(0.49355995655059814, 0.7114972472190857)","(0.4763539731502533, 0.7220399975776672)","(0.44296902418136597, 0.6481765508651733)","(0.4958542287349701, 0.6737456321716309)","(0.4915843605995178, 0.7106636762619019)","(0.47916314005851746, 0.7158511877059937)"
"(0.4145762622356415, 0.8300917744636536)","(0.4600336253643036, 0.804290771484375)","(0.4851387143135071, 0.7504185438156128)","(0.5082703828811646, 0.7147592902183533)","(0.5313780307769775, 0.6829231381416321)","(0.4395909607410431, 0.6320000290870667)","(0.5032223463058472, 0.6536735892295837)","(0.49533721804618835, 0.7040696144104004)","(0.47514352202415466, 0.7196570634841919)","(0.4334105849266052, 0.6200088262557983)","(0.5065049529075623, 0.6538016200065613)","(0.49541962146759033, 0.7090519070625305)","(0.4762837588787079, 0.7216635942459106)","(0.4346512258052826, 0.6285691261291504)","(0.506492018699646, 0.6630067229270935)","(0.4952567219734192, 0.7178327441215515)","(0.47563567757606506, 0.728910505771637)","(0.4408071041107178, 0.6518486142158508)","(0.4987611770629883, 0.6808888912200928)","(0.49063393473625183, 0.7199612855911255)","(0.47339093685150146, 0.727200984954834)"
"(0.407768189907074, 0.8369414806365967)","(0.4601482152938843, 0.7993531227111816)","(0.4850538671016693, 0.7456855177879333)","(0.5084948539733887, 0.7107096314430237)","(0.5305782556533813, 0.6790637373924255)","(0.4385426342487335, 0.6254771947860718)","(0.503566563129425, 0.6572779417037964)","(0.4946746528148651, 0.7100421786308289)","(0.4732949733734131, 0.7213852405548096)","(0.432746022939682, 0.6151024699211121)","(0.5078809857368469, 0.6571767926216125)","(0.4948490858078003, 0.7149714827537537)","(0.4726073741912842, 0.727554440498352)","(0.43405577540397644, 0.6259782314300537)","(0.507073163986206, 0.6678052544593811)","(0.49475178122520447, 0.7250961065292358)","(0.47308892011642456, 0.7361102104187012)","(0.4409031569957733, 0.6509257555007935)","(0.5006446242332458, 0.6862905621528625)","(0.49173030257225037, 0.7275455594062805)","(0.472922146320343, 0.7353994250297546)"
"(0.40487009286880493, 0.8427549004554749)","(0.4596344232559204, 0.7995047569274902)","(0.4850436747074127, 0.7464202046394348)","(0.5083817839622498, 0.7114671468734741)","(0.5288366079330444, 0.6774823069572449)","(0.4366499185562134, 0.6242395639419556)","(0.5024186372756958, 0.6582709550857544)","(0.49315330386161804, 0.712583065032959)","(0.471099853515625, 0.7264588475227356)","(0.4312703311443329, 0.6153888702392578)","(0.5081051588058472, 0.6581124663352966)","(0.4946692883968353, 0.7176963686943054)","(0.47108057141304016, 0.7336938381195068)","(0.4330027401447296, 0.6269857287406921)","(0.5075644850730896, 0.6682824492454529)","(0.4961082339286804, 0.7275897860527039)","(0.4745885729789734, 0.7409654855728149)","(0.4405321478843689, 0.6519129276275635)","(0.5014317035675049, 0.6854405999183655)","(0.49314844608306885, 0.7288525700569153)","(0.47461339831352234, 0.7384675741195679)"
"(0.4075138568878174, 0.8442584872245789)","(0.45998120307922363, 0.799090564250946)","(0.4860130250453949, 0.7453469038009644)","(0.5093531012535095, 0.7101672291755676)","(0.5310546159744263, 0.6766610145568848)","(0.437114953994751, 0.6241365075111389)","(0.5033187866210938, 0.6566162109375)","(0.4927372634410858, 0.7079581618309021)","(0.4697514772415161, 0.7178046107292175)","(0.4314175248146057, 0.6151881217956543)","(0.5089040398597717, 0.6563794016838074)","(0.4944419264793396, 0.7137010097503662)","(0.47085675597190857, 0.7274819612503052)","(0.43263912200927734, 0.6269413828849792)","(0.5084051489830017, 0.6671007871627808)","(0.4956469237804413, 0.724026620388031)","(0.47387999296188354, 0.7362579107284546)","(0.43965867161750793, 0.652442216873169)","(0.5013502240180969, 0.6864714026451111)","(0.4924403727054596, 0.7286614179611206)","(0.4740261435508728, 0.7373458743095398)"
"(0.40759190917015076, 0.8438398838043213)","(0.46047428250312805, 0.8013014793395996)","(0.4863450825214386, 0.7472320199012756)","(0.5092726945877075, 0.7114071249961853)","(0.5300567746162415, 0.6761242151260376)","(0.4371170103549957, 0.6254370808601379)","(0.5033489465713501, 0.6582329869270325)","(0.4918707311153412, 0.7109756469726562)","(0.4687677323818207, 0.7202329635620117)","(0.4311213791370392, 0.6168628931045532)","(0.5089395046234131, 0.6568396091461182)","(0.49361860752105713, 0.715472936630249)","(0.46999821066856384, 0.7284312844276428)","(0.4325557351112366, 0.6280586123466492)","(0.5084262490272522, 0.666637122631073)","(0.49529585242271423, 0.7238928079605103)","(0.47327807545661926, 0.7353565692901611)","(0.4401358962059021, 0.6522160172462463)","(0.5018562078475952, 0.6839720606803894)","(0.4932084083557129, 0.7257127165794373)","(0.47501179575920105, 0.7332755923271179)"
"(0.40748879313468933, 0.842936635017395)","(0.46019411087036133, 0.7995219230651855)","(0.4856520891189575, 0.7463275194168091)","(0.5088692307472229, 0.7111294865608215)","(0.5297703742980957, 0.6771612763404846)","(0.43665891885757446, 0.6246716976165771)","(0.5032916069030762, 0.6573936939239502)","(0.49249741435050964, 0.7102845311164856)","(0.4695165753364563, 0.7205535173416138)","(0.4309331178665161, 0.6162870526313782)","(0.5086854100227356, 0.6567776203155518)","(0.4938381314277649, 0.7143714427947998)","(0.4701773524284363, 0.7284436821937561)","(0.43241408467292786, 0.6281173825263977)","(0.508045494556427, 0.6667871475219727)","(0.49546509981155396, 0.7236239910125732)","(0.47376754879951477, 0.7358024716377258)","(0.4400453567504883, 0.6533818244934082)","(0.5018711090087891, 0.6849398016929626)","(0.4930174648761749, 0.7266539931297302)","(0.47457149624824524, 0.7349496483802795)"
"(0.4067378044128418, 0.8424587249755859)","(0.4591650068759918, 0.7990198135375977)","(0.4842716455459595, 0.7460213303565979)","(0.5076488256454468, 0.7107113599777222)","(0.5293116569519043, 0.6771457195281982)","(0.4364108145236969, 0.6236429214477539)","(0.5034488439559937, 0.6562497615814209)","(0.49269214272499084, 0.710273802280426)","(0.46980002522468567, 0.722948431968689)","(0.43068671226501465, 0.6153753399848938)","(0.5087651610374451, 0.6567152738571167)","(0.49367380142211914, 0.7146315574645996)","(0.47010529041290283, 0.7292913198471069)","(0.4320893883705139, 0.6274769306182861)","(0.5080556273460388, 0.6676462888717651)","(0.4950462877750397, 0.7246786952018738)","(0.473430335521698, 0.7374858260154724)","(0.43946224451065063, 0.6528117656707764)","(0.501866340637207, 0.6850196123123169)","(0.4928012192249298, 0.7267945408821106)","(0.4742041826248169, 0.7359050512313843)"
"(0.40707147121429443, 0.8445969223976135)","(0.46031540632247925, 0.799785315990448)","(0.48488056659698486, 0.7451366186141968)","(0.507870614528656, 0.7088721990585327)","(0.5288093090057373, 0.6756302714347839)","(0.4358339309692383, 0.6243640184402466)","(0.5030027627944946, 0.6566606163978577)","(0.49262571334838867, 0.7105329036712646)","(0.46957096457481384, 0.72306227684021)","(0.4304253160953522, 0.6160115003585815)","(0.5089851021766663, 0.6561711430549622)","(0.4943296015262604, 0.7151584029197693)","(0.4704427719116211, 0.730448305606842)","(0.43220075964927673, 0.6275826096534729)","(0.5084223747253418, 0.6673787236213684)","(0.495562344789505, 0.7256577014923096)","(0.47355547547340393, 0.7386550307273865)","(0.4397207498550415, 0.6520609855651855)","(0.5023463368415833, 0.6845723986625671)","(0.49371227622032166, 0.7270181775093079)","(0.47528427839279175, 0.7363807559013367)"
